Sample	Antimicrobial	Class	WGS_phenotype	Match	Genetic_background
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	gentamicin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	tobramycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	streptomycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	amikacin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	isepamicin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	dibekacin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	kanamycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	neomycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	lividomycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	paromomycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	ribostamycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	unknown aminoglycoside	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	butiromycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	butirosin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	hygromycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	netilmicin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	apramycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	sisomicin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	arbekacin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	kasugamycin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	astromicin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	fortimicin	aminoglycoside	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	spectinomycin	aminocyclitol	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	fluoroquinolone	quinolone	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	ciprofloxacin	quinolone	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	unknown quinolone	quinolone	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	nalidixic acid	quinolone	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	amoxicillin	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	amoxicillin+clavulanic acid	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	ampicillin	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	ampicillin+clavulanic acid	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	cefepime	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	cefixime	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	cefotaxime	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	cefoxitin	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	ceftazidime	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	ertapenem	beta-lactam	No resistance	0	
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	imipenem	beta-lactam	No resistance	0	
