genome_id	species
SAMEA104042167	anginosus
SAMEA104042168	anginosus
SAMEA104042169	anginosus
SAMEA104042172	anginosus
SAMEA104042173	anginosus
SAMEA104055225	anginosus
SAMEA104055226	anginosus
SAMEA104055228	anginosus
SAMEA104055229	anginosus
SAMEA104055302	anginosus
SAMEA104208644	anginosus
SAMEA104428578	anginosus
SAMEA11023521	anginosus
SAMEA111504211	anginosus
SAMEA111504470	anginosus
SAMEA111506406	anginosus
SAMEA112750615	anginosus
SAMEA114241914	anginosus
SAMEA114309377	anginosus
SAMEA114539101	anginosus
SAMEA114539114	anginosus
SAMEA114539135	anginosus
SAMEA114539139	anginosus
SAMEA114539248	anginosus
SAMEA115092732	anginosus
SAMEA115875069	anginosus
SAMEA2437857	anginosus
SAMEA3319274	anginosus
SAMEA3319291	anginosus
SAMEA3319344	anginosus
SAMEA3319397	anginosus
SAMEA3594164	anginosus
SAMEA3594195	anginosus
SAMEA3594209	anginosus
SAMEA3594226	anginosus
SAMEA3882158	anginosus
SAMEA3882160	anginosus
SAMEA3882161	anginosus
SAMEA3882167	anginosus
SAMEA6623500	anginosus
SAMEA6623505	anginosus
SAMEA6623512	anginosus
SAMEA9956639	anginosus
SAMN02441718	anginosus
SAMN03197043	anginosus
SAMN03198039	anginosus
SAMN04480053	anginosus
SAMN04480393	anginosus
SAMN04498581	anginosus
SAMN04498604	anginosus
SAMN04498621	anginosus
SAMN04498664	anginosus
SAMN04498855	anginosus
SAMN06624126	anginosus
SAMN12796999	anginosus
SAMN12797000	anginosus
SAMN12797003	anginosus
SAMN12797004	anginosus
SAMN12797006	anginosus
SAMN12797009	anginosus
SAMN12797024	anginosus
SAMN12797026	anginosus
SAMN12797027	anginosus
SAMN12797030	anginosus
SAMN12797032	anginosus
SAMN12797036	anginosus
SAMN12797039	anginosus
SAMN12797042	anginosus
SAMN14086703	anginosus
SAMN14086908	anginosus
SAMN14478484	anginosus
SAMN14478490	anginosus
SAMN19595174	anginosus
SAMN20399902	anginosus
SAMN20399903	anginosus
SAMN22091666	anginosus
SAMN26876553	anginosus
SAMN26876560	anginosus
SAMN26876585	anginosus
SAMN26876604	anginosus
SAMN31407740	anginosus
SAMN31407742	anginosus
SAMN31407743	anginosus
SAMN31407746	anginosus
SAMN34495011	anginosus
SAMN38159170	anginosus
SAMN39507645	anginosus
SAMN39507646	anginosus
SAMN39507648	anginosus
SAMN39507649	anginosus
SAMN39507650	anginosus
SAMN39507651	anginosus
SAMN39507652	anginosus
SAMN39507653	anginosus
SAMN39507654	anginosus
SAMN39507655	anginosus
SAMN39507656	anginosus
SAMN39507657	anginosus
SAMN39507658	anginosus
SAMN39507659	anginosus
SAMN39507660	anginosus
SAMN39507661	anginosus
SAMN39507662	anginosus
SAMN39507663	anginosus
SAMN39507664	anginosus
SAMN39507665	anginosus
SAMN39507666	anginosus
SAMN39507667	anginosus
SAMN39507668	anginosus
SAMN39507669	anginosus
SAMN39507670	anginosus
SAMN39507671	anginosus
SAMN39507674	anginosus
SAMN39507675	anginosus
SAMN39507676	anginosus
SAMN39507677	anginosus
SAMN39507679	anginosus
SAMN39507680	anginosus
SAMN39507681	anginosus
SAMN39507682	anginosus
SAMN39507683	anginosus
SAMN39507684	anginosus
SAMN39507685	anginosus
SAMN39507686	anginosus
SAMN39507688	anginosus
SAMN39507689	anginosus
SAMN39507690	anginosus
SAMN39507691	anginosus
SAMN39507692	anginosus
SAMN39507693	anginosus
SAMN39507694	anginosus
SAMN39507695	anginosus
SAMN39507696	anginosus
SAMN39507697	anginosus
SAMN39507698	anginosus
SAMN39507699	anginosus
SAMN39507700	anginosus
SAMN39507701	anginosus
SAMN39507702	anginosus
SAMN39507703	anginosus
SAMN39507705	anginosus
SAMN39507706	anginosus
SAMN39507707	anginosus
SAMN39507708	anginosus
SAMN39507709	anginosus
SAMN39507710	anginosus
SAMN39507711	anginosus
SAMN39507712	anginosus
SAMN39507714	anginosus
SAMN39507715	anginosus
SAMN39507716	anginosus
SAMN39507717	anginosus
SAMN39507718	anginosus
SAMN39507719	anginosus
SAMN39507722	anginosus
SAMN39507723	anginosus
SAMN39507724	anginosus
SAMN39507725	anginosus
SAMN39507726	anginosus
SAMN39507727	anginosus
SAMN39507728	anginosus
SAMN39507729	anginosus
SAMN39507730	anginosus
SAMN41336369	anginosus
SAMN41337658	anginosus
SAMN42334614	anginosus
SAMN42334615	anginosus
SAMN42334616	anginosus
SAMN42334617	anginosus
SAMN43302819	anginosus
SAMN43302820	anginosus
SAMN43302821	anginosus
SAMN47264449	anginosus
SAMEA104042164	anginosus_C
SAMEA104042166	anginosus_C
SAMEA104042170	anginosus_C
SAMEA104055239	anginosus_C
SAMEA104055296	anginosus_C
SAMEA104055299	anginosus_C
SAMEA104055301	anginosus_C
SAMEA104113803	anginosus_C
SAMEA104151681	anginosus_C
SAMEA104151682	anginosus_C
SAMEA104151683	anginosus_C
SAMEA104151684	anginosus_C
SAMEA104151685	anginosus_C
