user_genome	species_207	species_214	species_226
0048m-CMPN001x79_260114_LH00793_B23GCKKLT3	sp900555155	sp900555155	oralis_CS
0052a-CMPN001x80_260114_LH00793_B23GCKKLT3	anginosus_C	anginosus_C	hominis
0076m-CMPN001x85_260114_LH00793_B23GCKKLT3	sp001553685	sp001553685	no species
0093s-CMPN001x88_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_D
053Ap-CMPN001x52_260114_LH00793_B23GCKKLT3	sp900766505	sp900766505	parasanguinis_Q
062Ca-CMPN001x06_260114_LH00793_B23GCKKLT3	anginosus_C	anginosus_C	hominis
066Pp-CMPN001x40_260114_LH00793_B23GCKKLT3	sp900766505	sp900766505	parasanguinis_I
070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	anginosus	anginosus	vaginalis
074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	anginosus_C	anginosus_C	hominis
079As-CMPN001x53_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	oralis	oralis	oralis_CQ
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	koreensis	ilei	ilei
103Cs-CMPN001x21_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_D
104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	xiaochunlingii	xiaochunlingii	sp905372335
108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_D
110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	anginosus_C	anginosus_C	hominis
111Ps-CMPN001x43_260114_LH00793_B23GCKKLT3	sanguinis	sanguinis	sanguinis_R
112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	parasanguinis_B	parasanguinis_I	parasanguinis_J
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	parasanguinis_B	parasanguinis_B	parasanguinis_K
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	no species	no species	sp001553685
118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	infantis_F	infantis_F	no species
122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_D
131As-CMPN001x62_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	anginosus_C	anginosus_C	hominis
131Cm-CMPN001x37_260114_LH00793_B23GCKKLT3	mitis_AZ	mitis_AZ	no species
140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	anginosus_C	anginosus_C	hominis
140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	xiaochunlingii	xiaochunlingii	sp030825805
141Ap-CMPN001x66_260114_LH00793_B23GCKKLT3	sp001813295	sp001813295	parasanguinis_N
148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	oralis_T	oralis_T	sp000314775
149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	sp001813295	parasanguinis_E	sp036663675
149As-CMPN001x72_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_E
55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	salivarius	salivarius	salivarius_D
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	koreensis	ilei	ilei
