user_genome	classification	species
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A
0048m-CMPN001x79_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	oralis_CS
0052a-CMPN001x80_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	hominis
0059s-CMPN001x81_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sanguinis_H
0068g-CMPN001x82_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	gordonii
0068m-CMPN001x83_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A
0071v-CMPN001x84_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	vestibularis
0076m-CMPN001x85_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A
0084v-CMPN001x87_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	vestibularis
0093s-CMPN001x88_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_D
0106g-CMPN001x89_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	gordonii
0106s-CMPN001x90_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_D
0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
0116s-CMPN001x91_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_D
0129a-CMPN001x94_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	anginosus
0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A
039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	xiaochunlingii
042Ap-CMPN001x50_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_C
042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	gordonii
047As-CMPN001x51_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius
047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius
050Cc-CMPN001x04_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp902460355
053Ap-CMPN001x52_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_Q
062Ca-CMPN001x06_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	hominis
066Pp-CMPN001x40_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_I
069Cv-CMPN001x07_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A
070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	vaginalis
074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	hominis
079As-CMPN001x53_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius
079Ps-CMPN001x41_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001556435
083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	gordonii
089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
