sample_key	GTDB_214	sample	element_symbol	element_name
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A
