sample_key	GTDB_214	sample	element_symbol	element_name
93s	salivarius	93s	NA	NA
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
79as	salivarius	079As-CMPN001x53_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
79as	salivarius	079As-CMPN001x53_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
79cs	salivarius	079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
79cs	salivarius	079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
89cs	salivarius	089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
89cs	salivarius	089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
103cs	salivarius	103Cs-CMPN001x21_260114_LH00793_B23GCKKLT3	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)
104csv	salivarius	104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
104csv	salivarius	104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
108cv	salivarius	108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
108cv	salivarius	108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
112csv	salivarius	112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
112csv	salivarius	112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
122csv	salivarius	122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
122csv	salivarius	122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
131as	salivarius	131As-CMPN001x62_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
131as	salivarius	131As-CMPN001x62_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
149as	salivarius	149as	NA	NA
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
55csv	salivarius	55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
55csv	salivarius	55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
