sample_key	GTDB_214	sample	element_symbol	element_name
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
