sample_key	GTDB_214	sample	element_symbol	element_name	source
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
NA	NA	SAMEA104138657	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104138657	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104138661	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104138661	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN04477536	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN04477536	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN04477536	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN04477536	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
