sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
129a	anginosus	129a	NA	NA	rmarvig
70ca	anginosus	070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
70ca	anginosus	070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	tet(W)	Doxycycline, Tetracycline, Minocycline	rmarvig
70ca	anginosus	070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104208644	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA11023521	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA11023521	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA11023521	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA111504211	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA111504211	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114539101	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539101	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114539101	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMEA114539114	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539114	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114539114	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMEA114539135	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539135	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114539135	tet(L)	Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline	atb
NA	NA	SAMEA114539139	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539139	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114539139	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMEA114539248	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115092732	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA115092732	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA115092732	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115092732	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115875069	erm(T)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA115875069	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115875069	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMEA3319274	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA3319291	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA3319291	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
