sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
52a	anginosus_C	52a	NA	NA	rmarvig
62ca	anginosus_C	062Ca-CMPN001x06_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
74ca	anginosus_C	074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
74ca	anginosus_C	074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
110ca	anginosus_C	110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
110ca	anginosus_C	110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
131ca	anginosus_C	131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
131ca	anginosus_C	131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
140ca	anginosus_C	140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
140ca	anginosus_C	140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	tet(32)	Doxycycline, Tetracycline, Minocycline	rmarvig
140ca	anginosus_C	140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMN02344616	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN02344616	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN02344616	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN02344618	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN02344618	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03197009	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197009	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03197756	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197756	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04477579	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04477579	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04477579	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04477598	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04498868	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797013	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797013	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN16357499	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN16357499	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876561	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876561	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876571	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876608	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
