sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
149cc	constellatus	149Cc-CMPN001x73_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
149cc	constellatus	149Cc-CMPN001x73_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104151627	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104151628	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104151629	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104151646	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA3882157	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA4362457	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA4362483	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA4362490	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390780	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390783	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6100937	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA9956576	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN00761792	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876598	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876598	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876598	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876598	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876601	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876601	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMD00009213	NA	NA	atb
NA	NA	SAMD00011649	NA	NA	atb
NA	NA	SAMD00016355	NA	NA	atb
NA	NA	SAMEA104055223	NA	NA	atb
NA	NA	SAMEA104055252	NA	NA	atb
NA	NA	SAMEA104138643	NA	NA	atb
NA	NA	SAMEA104151631	NA	NA	atb
NA	NA	SAMEA104151632	NA	NA	atb
NA	NA	SAMEA104151633	NA	NA	atb
NA	NA	SAMEA104151645	NA	NA	atb
NA	NA	SAMEA111505288	NA	NA	atb
NA	NA	SAMEA111506111	NA	NA	atb
NA	NA	SAMEA3882096	NA	NA	atb
NA	NA	SAMEA3882098	NA	NA	atb
NA	NA	SAMEA3882159	NA	NA	atb
NA	NA	SAMEA3882165	NA	NA	atb
NA	NA	SAMEA3882166	NA	NA	atb
NA	NA	SAMEA4930002	NA	NA	atb
NA	NA	SAMEA6657698	NA	NA	atb
NA	NA	SAMEA8243636	NA	NA	atb
NA	NA	SAMN02344620	NA	NA	atb
NA	NA	SAMN03197507	NA	NA	atb
NA	NA	SAMN03197994	NA	NA	atb
NA	NA	SAMN03198143	NA	NA	atb
NA	NA	SAMN03996291	NA	NA	atb
NA	NA	SAMN04480386	NA	NA	atb
NA	NA	SAMN04495797	NA	NA	atb
NA	NA	SAMN16357184	NA	NA	atb
NA	NA	SAMN20983296	NA	NA	atb
NA	NA	SAMN26876578	NA	NA	atb
NA	NA	SAMN26876597	NA	NA	atb
