sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
105cc	cristatus	105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
105cc	cristatus	105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104113816	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104113818	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104113819	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104113819	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104113820	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104113820	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA112143520	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA112143520	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA112143522	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA112143522	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA112654020	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA112654020	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114552411	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114552411	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA115606578	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA115606578	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA117078776	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117078776	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA2554088	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03196976	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03196976	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03196977	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03196977	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN09631690	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN09631691	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN09631691	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876528	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876528	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104138658	NA	NA	atb
NA	NA	SAMEA114593531	NA	NA	atb
NA	NA	SAMEA114631780	NA	NA	atb
NA	NA	SAMEA5192287	NA	NA	atb
NA	NA	SAMEA5390761	NA	NA	atb
NA	NA	SAMEA5390762	NA	NA	atb
NA	NA	SAMN09631689	NA	NA	atb
NA	NA	SAMN11268214	NA	NA	atb
NA	NA	SAMN17729918	NA	NA	atb
