sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
NA	NA	SAMEA114539163	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539163	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114539258	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539258	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA3180705	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA3180705	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMEA3180705	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA3180705	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA682316	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA682316	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA682316	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN15063829	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN15063829	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN15063829	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN15063829	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN15063829	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41329155	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41329155	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
