sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	rmarvig
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	rmarvig
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA1022796	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA1022796	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA1022796	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA1022796	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104055237	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104055284	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104055285	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104055285	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104138609	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104138613	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104138613	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104138615	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104138616	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104138617	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104138622	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104138622	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104138624	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104138624	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104281749	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104281749	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104281749	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA111506113	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA111506113	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA111506113	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA112824124	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA112824124	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA112824125	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA112824125	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA112824189	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA112824189	mef(A)	Erythromycin, Azithromycin	atb
