sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	rmarvig
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
118cim	oralis_I	118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
118cim	oralis_I	118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104113832	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104113832	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104113832	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104113833	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104113833	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104113833	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114321085	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114321085	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114321085	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMEA1022771	NA	NA	atb
NA	NA	SAMEA104151615	NA	NA	atb
NA	NA	SAMEA9956626	NA	NA	atb
