sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
148cm	oralis_T	148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
148cm	oralis_T	148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
151cm	oralis_T	151Cm-CMPN001x75_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
151cm	oralis_T	151Cm-CMPN001x75_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA103953726	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA103953726	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA2051869	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA2051869	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA2051869	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA3173071	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6507098	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6507098	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6507100	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6507100	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6507101	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6507101	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA115377122	NA	NA	atb
NA	NA	SAMEA117078762	NA	NA	atb
NA	NA	SAMEA117078763	NA	NA	atb
NA	NA	SAMEA117078781	NA	NA	atb
NA	NA	SAMEA117078782	NA	NA	atb
NA	NA	SAMN16913245	NA	NA	atb
NA	NA	SAMN31202317	NA	NA	atb
