sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
116p	parasanguinis	0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
116p	parasanguinis	0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
129p	parasanguinis	0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
129p	parasanguinis	0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tet(O)	Doxycycline, Tetracycline, Minocycline	rmarvig
111ap	parasanguinis	111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
