sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
113ap	parasanguinis_B	113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
113pp	parasanguinis_B	113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
NA	NA	SAMEA104138657	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138657	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138661	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138661	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04477536	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04477536	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04477536	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04477536	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
