sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
42ap	parasanguinis_C	042Ap-CMPN001x50_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
42ap	parasanguinis_C	042Ap-CMPN001x50_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
NA	NA	SAMEA104138649	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138649	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390834	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390834	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849375	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849375	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849375	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849375	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849377	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849377	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849377	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849377	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849379	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849379	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
