sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
NA	NA	SAMEA104138651	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138651	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138651	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA117078724	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117078724	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA117078724	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA117078724	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4964470	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4964470	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA4964470	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4964470	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA4964470	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4964470	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390910	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390910	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197539	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197539	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197539	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197539	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04480358	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04480358	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04480358	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04480358	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN10239556	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN10239556	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN10239556	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN10239556	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849374	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849374	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849374	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849374	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849378	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849378	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849380	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN11849380	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849380	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849380	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN11849380	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849380	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849381	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849381	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849381	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849381	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849382	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849382	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849382	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN11849382	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849382	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849382	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN11849383	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849383	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849383	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849383	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849384	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN11849384	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849384	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849384	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN11849384	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849384	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849387	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849387	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849387	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849387	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849388	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN11849388	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849388	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849388	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN11849388	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849388	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849389	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849389	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849389	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849389	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849390	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN11849390	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849390	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849390	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN11849390	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN11849390	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876559	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876559	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876559	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876559	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876573	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876573	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876573	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876573	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN29581410	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN29581410	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN29581410	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN29581410	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41594618	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41594618	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41594618	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN41594619	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN41594619	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41594619	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41594620	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41594620	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41594620	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
