sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
NA	NA	SAMEA104113877	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104113877	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114321104	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114321104	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114321104	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114321104	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197258	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197258	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03197258	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197258	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197508	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197508	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197583	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197583	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197583	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03197583	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197583	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197851	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197851	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197851	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197851	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04477535	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04477535	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04477535	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04477535	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04477535	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04498651	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04498651	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04498651	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN04498651	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876551	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876551	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876551	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876551	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876551	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876576	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876576	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876576	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN26876576	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876576	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN26876576	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41328233	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN41328233	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN41328233	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN41328233	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN41328233	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
