sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
59s	sanguinis_H	59s	NA	NA	rmarvig
123cs	sanguinis_H	123Cs-CMPN001x34_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
123cs	sanguinis_H	123Cs-CMPN001x34_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
123cs	sanguinis_H	123Cs-CMPN001x34_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA5192278	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA53086918	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA53086918	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN20399959	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN20399960	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN20399961	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN20399964	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN20399965	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104055291	NA	NA	atb
NA	NA	SAMEA104138647	NA	NA	atb
NA	NA	SAMEA10427927	NA	NA	atb
NA	NA	SAMEA10428063	NA	NA	atb
NA	NA	SAMEA3882117	NA	NA	atb
NA	NA	SAMEA3882124	NA	NA	atb
NA	NA	SAMEA5192269	NA	NA	atb
NA	NA	SAMEA5192275	NA	NA	atb
NA	NA	SAMEA5192279	NA	NA	atb
NA	NA	SAMEA5192285	NA	NA	atb
NA	NA	SAMEA5192286	NA	NA	atb
NA	NA	SAMEA5390863	NA	NA	atb
NA	NA	SAMEA5390917	NA	NA	atb
NA	NA	SAMN09631763	NA	NA	atb
NA	NA	SAMN09631774	NA	NA	atb
NA	NA	SAMN18980384	NA	NA	atb
NA	NA	SAMN20399953	NA	NA	atb
NA	NA	SAMN20399958	NA	NA	atb
NA	NA	SAMN42177342	NA	NA	atb
NA	NA	SAMN42177344	NA	NA	atb
NA	NA	SAMN42177345	NA	NA	atb
NA	NA	SAMN42177346	NA	NA	atb
NA	NA	SAMN42177347	NA	NA	atb
