sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
110cm	sp001808705	110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	rmarvig
110cm	sp001808705	110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
110cm	sp001808705	110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
110cm	sp001808705	110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
110cm	sp001808705	110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
110cm	sp001808705	110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104151610	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104151610	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104151611	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104151611	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104151622	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104151622	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA111503389	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA111503389	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA111503389	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04477510	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04477510	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN16951220	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN16951220	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN16951220	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104138589	NA	NA	atb
