sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
71v	vestibularis	71v	NA	NA	rmarvig
84v	vestibularis	84v	NA	NA	rmarvig
110av	vestibularis	110av	NA	NA	rmarvig
NA	NA	SAMEA104138627	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMEA13883080	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104055286	NA	NA	atb
NA	NA	SAMEA104113812	NA	NA	atb
NA	NA	SAMEA104113813	NA	NA	atb
NA	NA	SAMEA104113814	NA	NA	atb
NA	NA	SAMEA104113815	NA	NA	atb
NA	NA	SAMEA114321082	NA	NA	atb
NA	NA	SAMEA114856755	NA	NA	atb
NA	NA	SAMN03196966	NA	NA	atb
NA	NA	SAMN03196967	NA	NA	atb
NA	NA	SAMN19353707	NA	NA	atb
NA	NA	SAMN26876540	NA	NA	atb
NA	NA	SAMN26876550	NA	NA	atb
