sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104113826	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104113826	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104113842	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104113842	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104113842	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104113842	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104151634	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104151639	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104151639	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104151639	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104151643	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104151643	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104151643	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104151643	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104151643	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA112653992	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114321099	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114321099	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114321099	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114321099	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114321099	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114321099	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA115092473	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA115092473	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115106822	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115606954	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA116302146	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA116302146	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA3353968	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA3353968	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA3353968	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA3353968	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA3882083	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA3882083	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197128	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197128	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197590	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03197590	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN03197590	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN09631674	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN09631674	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN09631675	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN09631675	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN42334627	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN42334627	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104151644	NA	NA	atb
NA	NA	SAMN09631676	NA	NA	atb
