sample_key	GTDB_214	Sample	Resistance gene	Phenotype
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline
