sample_key	GTDB_214	Sample	Resistance gene	Phenotype
93s	salivarius	93s	NA	NA
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
47as	salivarius	047As-CMPN001x51_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
47cs	salivarius	047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
79as	salivarius	079As-CMPN001x53_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
79as	salivarius	079As-CMPN001x53_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
79cs	salivarius	079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
79cs	salivarius	079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
79cs	salivarius	079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
89cs	salivarius	089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
89cs	salivarius	089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
103cs	salivarius	103Cs-CMPN001x21_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin
104csv	salivarius	104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
104csv	salivarius	104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
104csv	salivarius	104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
108cv	salivarius	108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
108cv	salivarius	108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
112csv	salivarius	112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
112csv	salivarius	112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
122csv	salivarius	122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
122csv	salivarius	122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
