sample_key	GTDB_214	Sample	Resistance gene	Phenotype
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
