Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA1022796	oralis	erm(B)	100.00	738/738	100.0	1..738	SAMEA1022796.contig00004 len=32305 cov=32.7 corr=0 origname=NODE_4_length_32305_cov_32.681054_pilon sw=shovill-spades/1.0.4 date=20181209	21864..22601	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA1022796	oralis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA1022796.contig00022 len=15410 cov=2.6 corr=1 origname=NODE_22_length_15410_cov_2.573038_pilon sw=shovill-spades/1.0.4 date=20181209	3090..4553	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA1022796	oralis	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA1022796.contig00022 len=15410 cov=2.6 corr=1 origname=NODE_22_length_15410_cov_2.573038_pilon sw=shovill-spades/1.0.4 date=20181209	4673..5890	Erythromycin, Azithromycin	U83667
SAMEA1022796	oralis	tet(M)	99.53	1920/1920	100.0	1..1920	SAMEA1022796.contig00004 len=32305 cov=32.7 corr=0 origname=NODE_4_length_32305_cov_32.681054_pilon sw=shovill-spades/1.0.4 date=20181209	10027..11946	Doxycycline, Tetracycline, Minocycline	X92947
SAMEA104055237	oralis	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA104055237.contig00002 len=519180 cov=39.5 corr=0 origname=NODE_2_length_519180_cov_39.471455_pilon sw=shovill-spades/1.0.4 date=20181220	299302..301221	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA104055284	oralis	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA104055284.contig00007 len=134348 cov=42.9 corr=0 origname=NODE_7_length_134348_cov_42.926752_pilon sw=shovill-spades/1.0.4 date=20181219	41372..43291	Doxycycline, Tetracycline, Minocycline	X92947
SAMEA104055285	oralis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104055285.contig00001 len=691928 cov=33.7 corr=0 origname=NODE_1_length_691928_cov_33.749768_pilon sw=shovill-spades/1.0.4 date=20181222	553458..554921	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104055285	oralis	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104055285.contig00001 len=691928 cov=33.7 corr=0 origname=NODE_1_length_691928_cov_33.749768_pilon sw=shovill-spades/1.0.4 date=20181222	552121..553338	Erythromycin, Azithromycin	U83667
SAMEA104138609	oralis	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA104138609.contig00002 len=519180 cov=39.3 corr=0 origname=NODE_2_length_519180_cov_39.315463_pilon sw=shovill-spades/1.0.4 date=20181222	299302..301221	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA104138613	oralis	erm(B)	99.86	738/738	100.0	1..738	SAMEA104138613.contig00001 len=499931 cov=34.2 corr=0 origname=NODE_1_length_499931_cov_34.202848_pilon sw=shovill-spades/1.0.4 date=20181220	424877..425614	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA104138613	oralis	erm(B)	99.86	738/738	100.0	1..738	SAMEA104138613.contig00001 len=499931 cov=34.2 corr=0 origname=NODE_1_length_499931_cov_34.202848_pilon sw=shovill-spades/1.0.4 date=20181220	424877..425614	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
SAMEA104138613	oralis	tet(M)	99.64	1920/1920	100.0	1..1920	SAMEA104138613.contig00001 len=499931 cov=34.2 corr=0 origname=NODE_1_length_499931_cov_34.202848_pilon sw=shovill-spades/1.0.4 date=20181220	421851..423770	Doxycycline, Tetracycline, Minocycline	X92947
SAMEA104138615	oralis	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA104138615.contig00002 len=306901 cov=39.9 corr=0 origname=NODE_2_length_306901_cov_39.879148_pilon sw=shovill-spades/1.0.4 date=20181220	218796..220715	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA104138616	oralis	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA104138616.contig00001 len=511463 cov=39.0 corr=0 origname=NODE_1_length_511463_cov_39.012503_pilon sw=shovill-spades/1.0.4 date=20181220	290749..292668	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA104138617	oralis	tet(M)	99.48	1920/1920	100.0	1..1920	SAMEA104138617.contig00001 len=1069180 cov=33.5 corr=0 origname=NODE_1_length_1069180_cov_33.539165_pilon sw=shovill-spades/1.0.4 date=20181221	272890..274809	Doxycycline, Tetracycline, Minocycline	X90939
SAMEA104138622	oralis	msr(D)	99.93	1464/1464	100.0	1..1464	SAMEA104138622.contig00001 len=812667 cov=31.3 corr=0 origname=NODE_1_length_812667_cov_31.331937_pilon sw=shovill-spades/1.0.4 date=20181222	302949..304412	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104138622	oralis	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA104138622.contig00001 len=812667 cov=31.3 corr=0 origname=NODE_1_length_812667_cov_31.331937_pilon sw=shovill-spades/1.0.4 date=20181222	304532..305749	Erythromycin, Azithromycin	U83667
SAMEA104138624	oralis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104138624.contig00001 len=887334 cov=34.7 corr=0 origname=NODE_1_length_887334_cov_34.700790_pilon sw=shovill-spades/1.0.4 date=20181221	567754..569217	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104138624	oralis	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104138624.contig00001 len=887334 cov=34.7 corr=0 origname=NODE_1_length_887334_cov_34.700790_pilon sw=shovill-spades/1.0.4 date=20181221	566516..567733	Erythromycin, Azithromycin	U83667
SAMEA104281749	oralis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104281749.contig00001 len=1366540 cov=52.7 corr=0 origname=NODE_1_length_1366540_cov_52.683910_pilon sw=shovill-spades/1.1.0 date=20230708	1027118..1028581	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104281749	oralis	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104281749.contig00001 len=1366540 cov=52.7 corr=0 origname=NODE_1_length_1366540_cov_52.683910_pilon sw=shovill-spades/1.1.0 date=20230708	1025781..1026998	Erythromycin, Azithromycin	U83667
SAMEA104281749	oralis	tet(M)	99.74	1920/1920	100.0	1..1920	SAMEA104281749.contig00001 len=1366540 cov=52.7 corr=0 origname=NODE_1_length_1366540_cov_52.683910_pilon sw=shovill-spades/1.1.0 date=20230708	607712..609631	Doxycycline, Tetracycline, Minocycline	FR671418
SAMEA111506113	oralis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111506113.contig00001 len=855014 cov=37.5 corr=0 origname=NODE_1_length_855014_cov_37.453722_pilon sw=shovill-spades/1.1.0 date=20230623	582257..583720	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111506113	oralis	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA111506113.contig00001 len=855014 cov=37.5 corr=0 origname=NODE_1_length_855014_cov_37.453722_pilon sw=shovill-spades/1.1.0 date=20230623	583840..585057	Erythromycin, Azithromycin	U83667
SAMEA111506113	oralis	tet(M)	99.79	1920/1920	100.0	1..1920	SAMEA111506113.contig00003 len=242145 cov=39.1 corr=0 origname=NODE_3_length_242145_cov_39.102093_pilon sw=shovill-spades/1.1.0 date=20230623	191794..193713	Doxycycline, Tetracycline, Minocycline	FR671418
SAMEA112824124	oralis	erm(B)	99.86	738/738	100.0	1..738	SAMEA112824124.contig00001 len=1042689 cov=34.6 corr=0 origname=NODE_1_length_1042689_cov_34.597313_pilon sw=shovill-spades/1.1.0 date=20230623	170542..171279	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
