sample_key	GTDB_214	sample	element_symbol	element_name	source
123pp	parasanguinis_D	123Pp-CMPN001x47_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
123pp	parasanguinis_D	123Pp-CMPN001x47_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
160ap	parasanguinis_D	160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
160ap	parasanguinis_D	160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
160ap	parasanguinis_D	160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
160ap	parasanguinis_D	160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
NA	NA	SAMEA104138666	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104138666	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA111346985	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA111346985	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA111346985	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA111346985	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA111347020	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA111347020	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA111347020	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA111347020	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA111347059	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA111347059	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA111347059	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA111347059	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA114321098	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA114321098	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA2335678	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA2335678	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA2335678	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA2335678	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA2335678	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5390890	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA5390890	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA5390893	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA5390893	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA5390905	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA5390905	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN03197706	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN03197706	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197706	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN04477645	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN04477645	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN04477645	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN04477645	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849391	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849391	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849391	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849391	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
