Genome	Species	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMEA104151627	constellatus	NA	SAMEA104151627.contig00001	13326	15242	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA104151628	constellatus	NA	SAMEA104151628.contig00009	70471	72387	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA104151629	constellatus	NA	SAMEA104151629.contig00004	67244	69160	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.28	639	WP_011860841.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA104151646	constellatus	NA	SAMEA104151646.contig00002	40837	42753	-	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_003505402.1	tetracycline resistance ribosomal protection protein Tet(32)	NA	NA
SAMEA104151646	constellatus	NA	SAMEA104151646.contig00002	139519	141435	-	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_003505402.1	tetracycline resistance ribosomal protection protein Tet(32)	NA	NA
SAMEA3882157	constellatus	NA	SAMEA3882157.contig00004	69387	71303	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.28	639	WP_011860841.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA4362457	constellatus	NA	SAMEA4362457.contig00002	183540	185456	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA4362483	constellatus	NA	SAMEA4362483.contig00002	204490	206406	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA4362490	constellatus	NA	SAMEA4362490.contig00002	181008	182924	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA5390780	constellatus	NA	SAMEA5390780.contig00001	204522	206438	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
