Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104151627	constellatus	tet(M)	99.95	1920/1920	100.0	1..1920	SAMEA104151627.contig00001 len=175915 cov=34.3 corr=0 origname=NODE_1_length_175915_cov_34.293165_pilon sw=shovill-spades/1.0.4 date=20181222	13323..15242	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA104151628	constellatus	tet(M)	99.95	1920/1920	100.0	1..1920	SAMEA104151628.contig00009 len=85712 cov=32.4 corr=0 origname=NODE_9_length_85712_cov_32.394381_pilon sw=shovill-spades/1.0.4 date=20181223	70471..72390	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA104151629	constellatus	tet(M)	95.15	1919/1920	99.94791666666667	1..1919	SAMEA104151629.contig00004 len=235929 cov=37.7 corr=0 origname=NODE_4_length_235929_cov_37.678558_pilon sw=shovill-spades/1.0.4 date=20181220	67244..69162	Doxycycline, Tetracycline, Minocycline	JN846696
SAMEA104151646	constellatus	tet(32)	100.00	1920/1920	100.0	1..1920	SAMEA104151646.contig00002 len=288251 cov=36.6 corr=0 origname=NODE_2_length_288251_cov_36.629315_pilon sw=shovill-spades/1.0.4 date=20181221	139516..141435	Doxycycline, Tetracycline, Minocycline	EU722333
SAMEA104151646	constellatus	tet(32)	100.00	1920/1920	100.0	1..1920	SAMEA104151646.contig00002 len=288251 cov=36.6 corr=0 origname=NODE_2_length_288251_cov_36.629315_pilon sw=shovill-spades/1.0.4 date=20181221	40834..42753	Doxycycline, Tetracycline, Minocycline	EU722333
SAMEA3882157	constellatus	tet(M)	95.15	1919/1920	99.94791666666667	1..1919	SAMEA3882157.contig00004 len=160292 cov=35.6 corr=0 origname=NODE_4_length_160292_cov_35.606649_pilon sw=shovill-spades/1.0.4 date=20190216	69387..71305	Doxycycline, Tetracycline, Minocycline	JN846696
SAMEA4362457	constellatus	tet(M)	99.06	1920/1920	100.0	1..1920	SAMEA4362457.contig00002 len=389945 cov=34.1 corr=0 origname=NODE_2_length_389945_cov_34.105921_pilon sw=shovill-spades/1.0.4 date=20190206	183537..185456	Doxycycline, Tetracycline, Minocycline	FN433596
SAMEA4362483	constellatus	tet(M)	99.06	1920/1920	100.0	1..1920	SAMEA4362483.contig00002 len=387413 cov=32.5 corr=0 origname=NODE_2_length_387413_cov_32.483717_pilon sw=shovill-spades/1.0.4 date=20190206	204490..206409	Doxycycline, Tetracycline, Minocycline	FN433596
SAMEA4362490	constellatus	tet(M)	99.06	1920/1920	100.0	1..1920	SAMEA4362490.contig00002 len=387402 cov=32.4 corr=0 origname=NODE_2_length_387402_cov_32.350054_pilon sw=shovill-spades/1.0.4 date=20190201	181005..182924	Doxycycline, Tetracycline, Minocycline	FN433596
SAMEA5390780	constellatus	tet(M)	99.06	1920/1920	100.0	1..1920	SAMEA5390780.contig00001 len=387477 cov=33.7 corr=0 origname=NODE_1_length_387477_cov_33.742564_pilon sw=shovill-spades/1.1.0 date=20230705	204522..206441	Doxycycline, Tetracycline, Minocycline	FN433596
SAMEA5390783	constellatus	tet(M)	99.06	1920/1920	100.0	1..1920	SAMEA5390783.contig00001 len=387477 cov=34.7 corr=0 origname=NODE_1_length_387477_cov_34.663654_pilon sw=shovill-spades/1.1.0 date=20230704	181037..182956	Doxycycline, Tetracycline, Minocycline	FN433596
SAMEA6100937	constellatus	erm(A)	99.86	732/732	100.0	1..732	SAMEA6100937.contig00001 len=1025313 cov=44.5 corr=0 origname=NODE_1_length_1025313_cov_44.530632_pilon sw=shovill-spades/1.1.0 date=20230703	900720..901451	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMEA9956576	constellatus	tet(32)	100.00	1920/1920	100.0	1..1920	SAMEA9956576.contig00001 len=326015 cov=36.9 corr=0 origname=NODE_1_length_326015_cov_36.893229_pilon sw=shovill-spades/1.1.0 date=20240706	146291..148210	Doxycycline, Tetracycline, Minocycline	EU722333
SAMN00761792	constellatus	tet(M)	99.95	1920/1920	100.0	1..1920	SAMN00761792.contig00001 len=268048 cov=35.7 corr=0 origname=NODE_1_length_268048_cov_35.669499_pilon sw=shovill-spades/1.0.4 date=20190218	252819..254738	Doxycycline, Tetracycline, Minocycline	AM990992
SAMN26876598	constellatus	erm(A)	100.00	732/732	100.0	1..732	SAMN26876598.contig00002 len=408705 cov=39.9 corr=0 origname=NODE_2_length_408705_cov_39.934803_pilon sw=shovill-spades/1.1.0 date=20230701	287035..287766	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMN26876598	constellatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN26876598.contig00014 len=7146 cov=51.4 corr=0 origname=NODE_14_length_7146_cov_51.417200_pilon sw=shovill-spades/1.1.0 date=20230701	2553..4016	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN26876598	constellatus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN26876598.contig00014 len=7146 cov=51.4 corr=0 origname=NODE_14_length_7146_cov_51.417200_pilon sw=shovill-spades/1.1.0 date=20230701	1216..2433	Erythromycin, Azithromycin	U83667
SAMN26876598	constellatus	tet(M)	99.43	1405/1920	73.17708333333334	516..1920	SAMN26876598.contig00014 len=7146 cov=51.4 corr=0 origname=NODE_14_length_7146_cov_51.417200_pilon sw=shovill-spades/1.1.0 date=20230701	5742..7146	Doxycycline, Tetracycline, Minocycline	X90939
SAMN26876601	constellatus	erm(A)	99.86	732/732	100.0	1..732	SAMN26876601.contig00001 len=629605 cov=38.2 corr=0 origname=NODE_1_length_629605_cov_38.184215_pilon sw=shovill-spades/1.1.0 date=20230626	403419..404150	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMN26876601	constellatus	tet(M)	99.84	1920/1920	100.0	1..1920	SAMN26876601.contig00003 len=270766 cov=45.4 corr=0 origname=NODE_3_length_270766_cov_45.433423_pilon sw=shovill-spades/1.1.0 date=20230626	155738..157657	Doxycycline, Tetracycline, Minocycline	X92947
