Genome	Species	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMEA114539163	ilei	NA	SAMEA114539163.contig00003	90084	91544	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMEA114539163	ilei	NA	SAMEA114539163.contig00003	91667	92881	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMEA114539258	ilei	NA	SAMEA114539258.contig00001	666268	667728	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMEA114539258	ilei	NA	SAMEA114539258.contig00001	667851	669065	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMEA3180705	ilei	NA	SAMEA3180705.contig00006	71891	73105	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMEA3180705	ilei	NA	SAMEA3180705.contig00006	73228	74688	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMEA3180705	ilei	NA	SAMEA3180705.contig00006	76420	78336	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691729.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA3180705	ilei	NA	SAMEA3180705.contig00006	91591	93066	+	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	492	492	100.00	93.09	492	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NA	NA
SAMEA682316	ilei	NA	SAMEA682316.contig00002	166110	168026	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.69	639	WP_000691729.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA682316	ilei	NA	SAMEA682316.contig00007	84939	86672	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	578	578	100.00	92.21	578	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMEA682316	ilei	NA	SAMEA682316.contig00007	86677	88398	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	91.64	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMN15063829	ilei	NA	SAMN15063829.contig00001	7792	9513	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	90.77	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMN15063829	ilei	NA	SAMN15063829.contig00001	9518	11251	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	578	578	100.00	92.73	578	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMN15063829	ilei	NA	SAMN15063829.contig00001	516476	518392	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691729.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMN15063829	ilei	NA	SAMN15063829.contig00001	520124	521584	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMN15063829	ilei	NA	SAMN15063829.contig00001	521707	522921	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMN41329155	ilei	NA	SAMN41329155.contig00001	259244	260965	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	99.48	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMN41329155	ilei	NA	SAMN41329155.contig00001	260970	262703	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	578	578	100.00	97.40	578	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
