sample_key	GTDB_214	sample	element_symbol	element_name	source
116p	parasanguinis	0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
116p	parasanguinis	0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
129p	parasanguinis	0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
129p	parasanguinis	0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
33ap	parasanguinis	033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
39ap	parasanguinis	039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
104ap	parasanguinis	104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	rmarvig
111ap	parasanguinis	111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
