Sample	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	NA	contig00001	72142	73602	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	NA	contig00001	73725	74939	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
0048m-CMPN001x79_260114_LH00793_B23GCKKLT3	NA	contig00001	543495	544709	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.75	405	WP_018374806.1	macrolide efflux MFS transporter Mef(A)	NA	NA
0048m-CMPN001x79_260114_LH00793_B23GCKKLT3	NA	contig00001	544832	546292	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	487	487	100.00	99.59	487	WP_000420317.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
0068m-CMPN001x83_260114_LH00793_B23GCKKLT3	NA	contig00001	182704	184620	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.69	639	WP_000691729.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
0068m-CMPN001x83_260114_LH00793_B23GCKKLT3	NA	contig00002	44344	45804	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
0068m-CMPN001x83_260114_LH00793_B23GCKKLT3	NA	contig00002	45828	47042	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.75	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
0076m-CMPN001x85_260114_LH00793_B23GCKKLT3	NA	contig00016	38325	39785	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
0076m-CMPN001x85_260114_LH00793_B23GCKKLT3	NA	contig00016	39908	41122	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
0076p-CMPN001x86_260114_LH00793_B23GCKKLT3	NA	contig00007	156512	158242	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	96.88	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
0076p-CMPN001x86_260114_LH00793_B23GCKKLT3	NA	contig00007	158247	159968	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.74	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
0076p-CMPN001x86_260114_LH00793_B23GCKKLT3	NA	contig00067	1107	1814	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	236	405	58.27	100.00	236	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	NA	contig00001	175299	177029	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	96.88	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	NA	contig00001	177034	178755	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.39	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	NA	contig00001	223083	224804	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.56	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	NA	contig00001	224809	226539	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	95.84	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	NA	contig00001	11815	13029	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	NA	contig00001	13152	14612	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	NA	contig00022	21644	23374	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	96.71	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	NA	contig00022	23379	25100	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.39	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	NA	contig00006	44208	46124	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.53	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	NA	contig00006	47052	47786	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	NA	contig00010	10547	11761	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.75	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	NA	contig00010	11884	13344	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	NA	contig00010	26969	27616	+	catA	type A-9 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	216	216	100.00	100.00	216	WP_001010387.1	type A-9 chloramphenicol O-acetyltransferase	NA	NA
039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	NA	contig00003	83950	85164	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
