sample_key	GTDB_214	sample	element_symbol	element_name	source
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
149ap	parasanguinis_E	149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
NA	NA	SAMEA104138651	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104138651	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104138651	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA117078724	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA117078724	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA117078724	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA117078724	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA4964470	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA4964470	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA4964470	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA4964470	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMEA4964470	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA4964470	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA5390910	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA5390910	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN03197539	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN03197539	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN03197539	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197539	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN04480358	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN04480358	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN04480358	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN04480358	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN10239556	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN10239556	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN10239556	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN10239556	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849374	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849374	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849374	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849374	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849378	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849378	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849380	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
NA	NA	SAMN11849380	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849380	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849380	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN11849380	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849380	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849381	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849381	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849381	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849381	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849382	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849382	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849382	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849382	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849382	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN11849382	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
NA	NA	SAMN11849383	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849383	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849383	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849383	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849384	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
NA	NA	SAMN11849384	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN11849384	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849384	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849384	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849384	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849387	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849387	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849387	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
