Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA103953726	oralis_T	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA103953726.contig00001 len=1144668 cov=31.3 corr=0 origname=NODE_1_length_1144668_cov_31.347695_pilon sw=shovill-spades/1.0.4 date=20181222	659605..661068	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA103953726	oralis_T	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA103953726.contig00001 len=1144668 cov=31.3 corr=0 origname=NODE_1_length_1144668_cov_31.347695_pilon sw=shovill-spades/1.0.4 date=20181222	658268..659485	Erythromycin, Azithromycin	U83667
SAMEA2051869	oralis_T	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA2051869.contig00011 len=46566 cov=33.7 corr=0 origname=NODE_11_length_46566_cov_33.656380_pilon sw=shovill-spades/1.0.4 date=20190109	43075..44538	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA2051869	oralis_T	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA2051869.contig00011 len=46566 cov=33.7 corr=0 origname=NODE_11_length_46566_cov_33.656380_pilon sw=shovill-spades/1.0.4 date=20190109	44658..45875	Erythromycin, Azithromycin	U83667
SAMEA2051869	oralis_T	tet(32)	99.95	1920/1920	100.0	1..1920	SAMEA2051869.contig00001 len=752320 cov=35.3 corr=0 origname=NODE_1_length_752320_cov_35.276462_pilon sw=shovill-spades/1.0.4 date=20190109	612507..614426	Doxycycline, Tetracycline, Minocycline	EF626943
SAMEA3173071	oralis_T	tet(M)	99.48	1920/1920	100.0	1..1920	SAMEA3173071.contig00012 len=16908 cov=50.1 corr=0 origname=NODE_12_length_16908_cov_50.050116_pilon sw=shovill-spades/1.1.0 date=20230708	5350..7269	Doxycycline, Tetracycline, Minocycline	X90939
SAMEA6507098	oralis_T	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA6507098.contig00001 len=1258351 cov=37.1 corr=0 origname=NODE_1_length_1258351_cov_37.065751_pilon sw=shovill-spades/1.1.0 date=20230705	569812..571275	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA6507098	oralis_T	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA6507098.contig00001 len=1258351 cov=37.1 corr=0 origname=NODE_1_length_1258351_cov_37.065751_pilon sw=shovill-spades/1.1.0 date=20230705	571395..572612	Erythromycin, Azithromycin	U83667
SAMEA6507100	oralis_T	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA6507100.contig00001 len=1258462 cov=38.0 corr=0 origname=NODE_1_length_1258462_cov_37.999494_pilon sw=shovill-spades/1.1.0 date=20230720	687188..688651	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA6507100	oralis_T	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA6507100.contig00001 len=1258462 cov=38.0 corr=0 origname=NODE_1_length_1258462_cov_37.999494_pilon sw=shovill-spades/1.1.0 date=20230720	685851..687068	Erythromycin, Azithromycin	U83667
SAMEA6507101	oralis_T	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA6507101.contig00001 len=1258351 cov=39.3 corr=0 origname=NODE_1_length_1258351_cov_39.294499_pilon sw=shovill-spades/1.1.0 date=20230720	687077..688540	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA6507101	oralis_T	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA6507101.contig00001 len=1258351 cov=39.3 corr=0 origname=NODE_1_length_1258351_cov_39.294499_pilon sw=shovill-spades/1.1.0 date=20230720	685740..686957	Erythromycin, Azithromycin	U83667
