Sample	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=703055 cov=41.9 corr=0 origname=NODE_1_length_703055_cov_41.898602_pilon sw=shovill-spades/1.0.4 date=20260119	72139..73602	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
0043m-CMPN001x78_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=703055 cov=41.9 corr=0 origname=NODE_1_length_703055_cov_41.898602_pilon sw=shovill-spades/1.0.4 date=20260119	73722..74939	Erythromycin, Azithromycin	U83667
0048m-CMPN001x79_260114_LH00793_B23GCKKLT3	msr(D)	99.45	1464/1464	100.0	1..1464	contig00001 len=886968 cov=36.4 corr=0 origname=NODE_1_length_886968_cov_36.372372_pilon sw=shovill-spades/1.0.4 date=20260119	544832..546295	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF227520
0048m-CMPN001x79_260114_LH00793_B23GCKKLT3	mef(A)	99.67	1218/1218	100.0	1..1218	contig00001 len=886968 cov=36.4 corr=0 origname=NODE_1_length_886968_cov_36.372372_pilon sw=shovill-spades/1.0.4 date=20260119	543495..544712	Erythromycin, Azithromycin	AF227520
0068m-CMPN001x83_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00002 len=184471 cov=31.0 corr=0 origname=NODE_2_length_184471_cov_31.023540_pilon sw=shovill-spades/1.0.4 date=20260119	44341..45804	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
0068m-CMPN001x83_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00002 len=184471 cov=31.0 corr=0 origname=NODE_2_length_184471_cov_31.023540_pilon sw=shovill-spades/1.0.4 date=20260119	45825..47042	Erythromycin, Azithromycin	U83667
0068m-CMPN001x83_260114_LH00793_B23GCKKLT3	tet(M)	99.48	1920/1920	100.0	1..1920	contig00001 len=424795 cov=23.6 corr=0 origname=NODE_1_length_424795_cov_23.612726_pilon sw=shovill-spades/1.0.4 date=20260119	182704..184623	Doxycycline, Tetracycline, Minocycline	X90939
0076m-CMPN001x85_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00016 len=45786 cov=31.2 corr=0 origname=NODE_16_length_45786_cov_31.174330_pilon sw=shovill-spades/1.0.4 date=20260119	38322..39785	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
0076m-CMPN001x85_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00016 len=45786 cov=31.2 corr=0 origname=NODE_16_length_45786_cov_31.174330_pilon sw=shovill-spades/1.0.4 date=20260119	39905..41122	Erythromycin, Azithromycin	U83667
0076p-CMPN001x86_260114_LH00793_B23GCKKLT3	tetA(46)	94.55	1725/1725	100.0	1..1725	contig00007 len=167409 cov=41.9 corr=0 origname=NODE_7_length_167409_cov_41.929440_pilon sw=shovill-spades/1.0.4 date=20260119	158244..159968	Doxycycline, Tetracycline, Tigecycline	HQ652506
0076p-CMPN001x86_260114_LH00793_B23GCKKLT3	tetB(46)	92.87	1711/1737	98.38802533103052	1..1710	contig00007 len=167409 cov=41.9 corr=0 origname=NODE_7_length_167409_cov_41.929440_pilon sw=shovill-spades/1.0.4 date=20260119	156533..158242	Doxycycline, Tetracycline, Tigecycline	HQ652506
0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	tetA(46)	94.43	1725/1725	100.0	1..1725	contig00001 len=234908 cov=36.0 corr=0 origname=NODE_1_length_234908_cov_35.953381_pilon sw=shovill-spades/1.0.4 date=20260119	177031..178755	Doxycycline, Tetracycline, Tigecycline	HQ652506
0116p-CMPN001x93_260114_LH00793_B23GCKKLT3	tetB(46)	92.81	1711/1737	98.38802533103052	1..1710	contig00001 len=234908 cov=36.0 corr=0 origname=NODE_1_length_234908_cov_35.953381_pilon sw=shovill-spades/1.0.4 date=20260119	175320..177029	Doxycycline, Tetracycline, Tigecycline	HQ652506
0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	tetA(46)	94.67	1725/1725	100.0	1..1725	contig00001 len=260004 cov=25.5 corr=0 origname=NODE_1_length_260004_cov_25.523984_pilon sw=shovill-spades/1.0.4 date=20260119	223083..224807	Doxycycline, Tetracycline, Tigecycline	HQ652506
0129p-CMPN001x95_260114_LH00793_B23GCKKLT3	tetB(46)	91.87	1723/1737	98.96373056994818	1..1721	contig00001 len=260004 cov=25.5 corr=0 origname=NODE_1_length_260004_cov_25.523984_pilon sw=shovill-spades/1.0.4 date=20260119	224809..226529	Doxycycline, Tetracycline, Tigecycline	HQ652506
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=273545 cov=38.1 corr=0 origname=NODE_1_length_273545_cov_38.137807_pilon sw=shovill-spades/1.0.4 date=20260119	13152..14615	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=273545 cov=38.1 corr=0 origname=NODE_1_length_273545_cov_38.137807_pilon sw=shovill-spades/1.0.4 date=20260119	11815..13032	Erythromycin, Azithromycin	U83667
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	tetA(46)	94.61	1725/1725	100.0	1..1725	contig00022 len=34931 cov=39.9 corr=0 origname=NODE_22_length_34931_cov_39.907032_pilon sw=shovill-spades/1.0.4 date=20260119	23376..25100	Doxycycline, Tetracycline, Tigecycline	HQ652506
033Ap-CMPN001x48_260114_LH00793_B23GCKKLT3	tetB(46)	92.17	1711/1737	98.38802533103052	1..1710	contig00022 len=34931 cov=39.9 corr=0 origname=NODE_22_length_34931_cov_39.907032_pilon sw=shovill-spades/1.0.4 date=20260119	21665..23374	Doxycycline, Tetracycline, Tigecycline	HQ652506
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00006 len=103392 cov=37.1 corr=0 origname=NODE_6_length_103392_cov_37.141906_pilon sw=shovill-spades/1.0.4 date=20260119	47052..47789	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00010 len=65930 cov=30.7 corr=0 origname=NODE_10_length_65930_cov_30.711250_pilon sw=shovill-spades/1.0.4 date=20260119	11884..13347	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00010 len=65930 cov=30.7 corr=0 origname=NODE_10_length_65930_cov_30.711250_pilon sw=shovill-spades/1.0.4 date=20260119	10547..11764	Erythromycin, Azithromycin	U83667
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	cat(pC194)	100.00	651/651	100.0	1..651	contig00010 len=65930 cov=30.7 corr=0 origname=NODE_10_length_65930_cov_30.711250_pilon sw=shovill-spades/1.0.4 date=20260119	26969..27619	Chloramphenicol	NC_002013
033Cm-CMPN001x01_260114_LH00793_B23GCKKLT3	tet(M)	99.27	1920/1920	100.0	1..1920	contig00006 len=103392 cov=37.1 corr=0 origname=NODE_6_length_103392_cov_37.141906_pilon sw=shovill-spades/1.0.4 date=20260119	44208..46127	Doxycycline, Tetracycline, Minocycline	X04388
039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=144668 cov=29.7 corr=0 origname=NODE_3_length_144668_cov_29.708695_pilon sw=shovill-spades/1.0.4 date=20260119	85287..86750	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
