sample_key	GTDB_214	sample	element_symbol	element_name	source
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	rmarvig
114cim	oralis_I	114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
118cim	oralis_I	118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
118cim	oralis_I	118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
NA	NA	SAMEA104113832	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA104113832	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA104113832	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA104113833	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA104113833	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA104113833	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA114321085	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA114321085	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA114321085	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
NA	NA	SAMEA1022771	NA	NA	atb
NA	NA	SAMEA104151615	NA	NA	atb
NA	NA	SAMEA9956626	NA	NA	atb
