Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMN02344616	anginosus_C	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN02344616.contig00001 len=428149 cov=33.3 corr=0 origname=NODE_1_length_428149_cov_33.291953_pilon sw=shovill-spades/1.0.4 date=20190227	377059..378522	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN02344616	anginosus_C	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN02344616.contig00001 len=428149 cov=33.3 corr=0 origname=NODE_1_length_428149_cov_33.291953_pilon sw=shovill-spades/1.0.4 date=20190227	375722..376939	Erythromycin, Azithromycin	U83667
SAMN02344616	anginosus_C	tet(O)	99.79	1920/1920	100.0	1..1920	SAMN02344616.contig00001 len=428149 cov=33.3 corr=0 origname=NODE_1_length_428149_cov_33.291953_pilon sw=shovill-spades/1.0.4 date=20190227	220646..222565	Doxycycline, Tetracycline, Minocycline	M18896
SAMN02344618	anginosus_C	erm(B)	100.00	738/738	100.0	1..738	SAMN02344618.contig00001 len=269357 cov=29.9 corr=0 origname=NODE_1_length_269357_cov_29.854128_pilon sw=shovill-spades/1.0.4 date=20190224	235975..236712	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
SAMN02344618	anginosus_C	tet(M)	99.17	1920/1920	100.0	1..1920	SAMN02344618.contig00001 len=269357 cov=29.9 corr=0 origname=NODE_1_length_269357_cov_29.854128_pilon sw=shovill-spades/1.0.4 date=20190224	232949..234868	Doxycycline, Tetracycline, Minocycline	AM990992
SAMN03197009	anginosus_C	erm(B)	99.73	738/738	100.0	1..738	SAMN03197009.contig00003 len=160164 cov=17.9 corr=0 origname=NODE_3_length_160164_cov_17.933832_pilon sw=shovill-spades/1.0.4 date=20190305	99540..100277	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMN03197009	anginosus_C	erm(B)	99.73	738/738	100.0	1..738	SAMN03197009.contig00003 len=160164 cov=17.9 corr=0 origname=NODE_3_length_160164_cov_17.933832_pilon sw=shovill-spades/1.0.4 date=20190305	99540..100277	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
SAMN03197009	anginosus_C	tet(M)	98.59	1920/1920	100.0	1..1920	SAMN03197009.contig00003 len=160164 cov=17.9 corr=0 origname=NODE_3_length_160164_cov_17.933832_pilon sw=shovill-spades/1.0.4 date=20190305	109069..110988	Doxycycline, Tetracycline, Minocycline	X90939
SAMN03197756	anginosus_C	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN03197756.contig00002 len=382134 cov=16.1 corr=0 origname=NODE_2_length_382134_cov_16.081010_pilon sw=shovill-spades/1.0.4 date=20190304	337106..338569	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN03197756	anginosus_C	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN03197756.contig00002 len=382134 cov=16.1 corr=0 origname=NODE_2_length_382134_cov_16.081010_pilon sw=shovill-spades/1.0.4 date=20190304	335769..336986	Erythromycin, Azithromycin	U83667
SAMN04477579	anginosus_C	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN04477579.contig00034 len=5640 cov=32.4 corr=0 origname=NODE_34_length_5640_cov_32.431904_pilon sw=shovill-spades/1.0.4 date=20190104	1669..3132	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN04477579	anginosus_C	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN04477579.contig00034 len=5640 cov=32.4 corr=0 origname=NODE_34_length_5640_cov_32.431904_pilon sw=shovill-spades/1.0.4 date=20190104	3252..4469	Erythromycin, Azithromycin	U83667
SAMN04477579	anginosus_C	tet(M)	99.77	1284/1920	66.875	637..1920	SAMN04477579.contig00042 len=1408 cov=65.8 corr=0 origname=NODE_42_length_1408_cov_65.808352_pilon sw=shovill-spades/1.0.4 date=20190104	1..1284	Doxycycline, Tetracycline, Minocycline	X04388
SAMN04477598	anginosus_C	tet(O)	99.79	1920/1920	100.0	1..1920	SAMN04477598.contig00001 len=414528 cov=32.2 corr=0 origname=NODE_1_length_414528_cov_32.194462_pilon sw=shovill-spades/1.0.4 date=20190105	215829..217748	Doxycycline, Tetracycline, Minocycline	M18896
SAMN04498868	anginosus_C	tet(32)	100.00	1920/1920	100.0	1..1920	SAMN04498868.contig00002 len=199453 cov=33.4 corr=0 origname=NODE_2_length_199453_cov_33.426454_pilon sw=shovill-spades/1.0.4 date=20190104	74275..76194	Doxycycline, Tetracycline, Minocycline	EU722333
SAMN12797013	anginosus_C	erm(B)	100.00	738/738	100.0	1..738	SAMN12797013.contig00012 len=57210 cov=22.1 corr=0 origname=NODE_12_length_57210_cov_22.062558_pilon sw=shovill-spades/1.1.0 date=20230701	14965..15702	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
SAMN12797013	anginosus_C	tet(M)	98.65	1920/1920	100.0	1..1920	SAMN12797013.contig00012 len=57210 cov=22.1 corr=0 origname=NODE_12_length_57210_cov_22.062558_pilon sw=shovill-spades/1.1.0 date=20230701	16809..18728	Doxycycline, Tetracycline, Minocycline	X90939
SAMN16357499	anginosus_C	erm(B)	100.00	738/738	100.0	1..738	SAMN16357499.contig00023 len=11605 cov=47.4 corr=0 origname=NODE_23_length_11605_cov_47.427788_pilon sw=shovill-spades/1.1.0 date=20230624	10284..11021	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMN16357499	anginosus_C	tet(M)	99.95	1920/1920	100.0	1..1920	SAMN16357499.contig00008 len=108477 cov=45.3 corr=0 origname=NODE_8_length_108477_cov_45.316658_pilon sw=shovill-spades/1.1.0 date=20230624	8388..10307	Doxycycline, Tetracycline, Minocycline	AM990992
SAMN26876561	anginosus_C	erm(B)	100.00	738/738	100.0	1..738	SAMN26876561.contig00009 len=73976 cov=23.9 corr=0 origname=NODE_9_length_73976_cov_23.927598_pilon sw=shovill-spades/1.1.0 date=20230628	47554..48291	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
SAMN26876561	anginosus_C	tet(M)	99.58	1920/1920	100.0	1..1920	SAMN26876561.contig00009 len=73976 cov=23.9 corr=0 origname=NODE_9_length_73976_cov_23.927598_pilon sw=shovill-spades/1.1.0 date=20230628	49400..51319	Doxycycline, Tetracycline, Minocycline	X92947
SAMN26876571	anginosus_C	tet(M)	100.00	1920/1920	100.0	1..1920	SAMN26876571.contig00007 len=123836 cov=32.5 corr=0 origname=NODE_7_length_123836_cov_32.467949_pilon sw=shovill-spades/1.1.0 date=20230627	93113..95032	Doxycycline, Tetracycline, Minocycline	X04388
SAMN26876608	anginosus_C	tet(32)	100.00	1920/1920	100.0	1..1920	SAMN26876608.contig00002 len=288587 cov=41.3 corr=0 origname=NODE_2_length_288587_cov_41.311426_pilon sw=shovill-spades/1.1.0 date=20230626	55933..57852	Doxycycline, Tetracycline, Minocycline	EF626943
SAMN38159159	anginosus_C	tet(O)	100.00	1920/1920	100.0	1..1920	SAMN38159159.contig00003 len=241017 cov=39.0 corr=0 origname=NODE_3_length_241017_cov_38.982308_pilon sw=shovill-spades/1.1.0 date=20240716	212316..214235	Doxycycline, Tetracycline, Minocycline	Y07780
SAMN38159160	anginosus_C	erm(B)	100.00	738/738	100.0	1..738	SAMN38159160.contig00001 len=586723 cov=39.8 corr=0 origname=NODE_1_length_586723_cov_39.786384_pilon sw=shovill-spades/1.1.0 date=20240716	266948..267685	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMN38159160	anginosus_C	tet(M)	99.64	1920/1920	100.0	1..1920	SAMN38159160.contig00001 len=586723 cov=39.8 corr=0 origname=NODE_1_length_586723_cov_39.786384_pilon sw=shovill-spades/1.1.0 date=20240716	255111..257030	Doxycycline, Tetracycline, Minocycline	X92947
SAMN38159165	anginosus_C	tet(O)	100.00	1920/1920	100.0	1..1920	SAMN38159165.contig00002 len=241017 cov=39.0 corr=0 origname=NODE_2_length_241017_cov_39.021984_pilon sw=shovill-spades/1.1.0 date=20240716	26783..28702	Doxycycline, Tetracycline, Minocycline	Y07780
SAMN38159168	anginosus_C	tet(O)	100.00	1920/1920	100.0	1..1920	SAMN38159168.contig00009 len=94138 cov=48.3 corr=0 origname=NODE_9_length_94138_cov_48.332483_pilon sw=shovill-spades/1.1.0 date=20240716	65457..67376	Doxycycline, Tetracycline, Minocycline	Y07780
SAMN38159169	anginosus_C	tet(O)	100.00	1920/1920	100.0	1..1920	SAMN38159169.contig00002 len=240842 cov=46.6 corr=0 origname=NODE_2_length_240842_cov_46.584284_pilon sw=shovill-spades/1.1.0 date=20240716	212161..214080	Doxycycline, Tetracycline, Minocycline	Y07780
SAMN41329048	anginosus_C	lsa(C)	99.80	1479/1479	100.0	1..1479	SAMN41329048.contig00001 len=718722 cov=29.4 corr=0 origname=NODE_1_length_718722_cov_29.407160_pilon sw=shovill-spades/1.1.0 date=20240720	415418..416896	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
SAMN41329048	anginosus_C	erm(B)	100.00	738/738	100.0	1..738	SAMN41329048.contig00001 len=718722 cov=29.4 corr=0 origname=NODE_1_length_718722_cov_29.407160_pilon sw=shovill-spades/1.1.0 date=20240720	398539..399276	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
SAMN41329048	anginosus_C	tet(M)	99.79	1920/1920	100.0	1..1920	SAMN41329048.contig00001 len=718722 cov=29.4 corr=0 origname=NODE_1_length_718722_cov_29.407160_pilon sw=shovill-spades/1.1.0 date=20240720	400383..402302	Doxycycline, Tetracycline, Minocycline	X92947
SAMN42334624	anginosus_C	erm(B)	99.53	638/762	83.59580052493439	1..637	SAMN42334624.contig00032 len=1749 cov=2.1 corr=0 origname=NODE_33_length_1749_cov_2.095296_pilon sw=shovill-spades/1.1.0 date=20240805	1..638	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X66468
