Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104151606	infantis_F	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104151606.contig00010 len=75705 cov=31.9 corr=0 origname=NODE_10_length_75705_cov_31.885397_pilon sw=shovill-spades/1.0.4 date=20181222	11083..12546	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104151606	infantis_F	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA104151606.contig00010 len=75705 cov=31.9 corr=0 origname=NODE_10_length_75705_cov_31.885397_pilon sw=shovill-spades/1.0.4 date=20181222	12666..13883	Erythromycin, Azithromycin	U83667
SAMEA104151606	infantis_F	tet(M)	99.79	1920/1920	100.0	1..1920	SAMEA104151606.contig00005 len=111365 cov=38.9 corr=0 origname=NODE_5_length_111365_cov_38.935571_pilon sw=shovill-spades/1.0.4 date=20181222	92568..94487	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA114313529	infantis_F	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114313529.contig00001 len=988120 cov=35.0 corr=0 origname=NODE_1_length_988120_cov_35.032338_pilon sw=shovill-spades/1.1.0 date=20240629	318959..320422	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114313529	infantis_F	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114313529.contig00001 len=988120 cov=35.0 corr=0 origname=NODE_1_length_988120_cov_35.032338_pilon sw=shovill-spades/1.1.0 date=20240629	317622..318839	Erythromycin, Azithromycin	U83667
SAMEA114593803	infantis_F	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114593803.contig00004 len=181631 cov=35.2 corr=0 origname=NODE_4_length_181631_cov_35.233655_pilon sw=shovill-spades/1.1.0 date=20241224	35219..36682	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114593803	infantis_F	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114593803.contig00004 len=181631 cov=35.2 corr=0 origname=NODE_4_length_181631_cov_35.233655_pilon sw=shovill-spades/1.1.0 date=20241224	33882..35099	Erythromycin, Azithromycin	U83667
SAMEA117078652	infantis_F	tet(W)	100.00	1920/1920	100.0	1..1920	SAMEA117078652.contig00005 len=196045 cov=33.6 corr=0 origname=NODE_5_length_196045_cov_33.588969_pilon sw=shovill-spades/1.1.0 date=20250207	105982..107901	Doxycycline, Tetracycline, Minocycline	AJ427422
SAMEA5390841	infantis_F	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA5390841.contig00001 len=257583 cov=30.0 corr=0 origname=NODE_1_length_257583_cov_30.047349_pilon sw=shovill-spades/1.1.0 date=20230705	39493..40956	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA5390841	infantis_F	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA5390841.contig00001 len=257583 cov=30.0 corr=0 origname=NODE_1_length_257583_cov_30.047349_pilon sw=shovill-spades/1.1.0 date=20230705	38156..39373	Erythromycin, Azithromycin	U83667
SAMEA5390841	infantis_F	tet(M)	99.95	1920/1920	100.0	1..1920	SAMEA5390841.contig00001 len=257583 cov=30.0 corr=0 origname=NODE_1_length_257583_cov_30.047349_pilon sw=shovill-spades/1.1.0 date=20230705	42682..44601	Doxycycline, Tetracycline, Minocycline	X90939
SAMN03197628	infantis_F	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN03197628.contig00001 len=311219 cov=12.8 corr=0 origname=NODE_1_length_311219_cov_12.821956_pilon sw=shovill-spades/1.0.4 date=20190226	113937..115400	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN03197628	infantis_F	mef(A)	99.92	1218/1218	100.0	1..1218	SAMN03197628.contig00001 len=311219 cov=12.8 corr=0 origname=NODE_1_length_311219_cov_12.821956_pilon sw=shovill-spades/1.0.4 date=20190226	115421..116638	Erythromycin, Azithromycin	U83667
SAMN03197628	infantis_F	tet(M)	99.17	1920/1920	100.0	1..1920	SAMN03197628.contig00001 len=311219 cov=12.8 corr=0 origname=NODE_1_length_311219_cov_12.821956_pilon sw=shovill-spades/1.0.4 date=20190226	110292..112211	Doxycycline, Tetracycline, Minocycline	U58985
SAMN09874923	infantis_F	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN09874923.contig00004 len=206768 cov=25.2 corr=0 origname=NODE_4_length_206768_cov_25.187238_pilon sw=shovill-spades/1.1.0 date=20230708	76555..78018	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN09874923	infantis_F	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN09874923.contig00004 len=206768 cov=25.2 corr=0 origname=NODE_4_length_206768_cov_25.187238_pilon sw=shovill-spades/1.1.0 date=20230708	75218..76435	Erythromycin, Azithromycin	U83667
SAMN41438184	infantis_F	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN41438184.contig00008 len=108590 cov=9.5 corr=1 origname=NODE_8_length_108590_cov_9.524581_pilon sw=shovill-spades/1.1.0 date=20240724	7830..9293	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN41438184	infantis_F	mef(A)	99.92	1218/1218	100.0	1..1218	SAMN41438184.contig00008 len=108590 cov=9.5 corr=1 origname=NODE_8_length_108590_cov_9.524581_pilon sw=shovill-spades/1.1.0 date=20240724	9413..10630	Erythromycin, Azithromycin	U83667
SAMN41438184	infantis_F	tet(M)	99.84	1920/1920	100.0	1..1920	SAMN41438184.contig00004 len=206381 cov=13.1 corr=0 origname=NODE_4_length_206381_cov_13.091863_pilon sw=shovill-spades/1.1.0 date=20240724	138980..140899	Doxycycline, Tetracycline, Minocycline	X04388
