Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMD00793724	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMD00793724.contig00001 len=248578 cov=64.5 corr=0 origname=NODE_1_length_248578_cov_64.454339_pilon sw=shovill-spades/1.1.0 date=20250203	61805..63268	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMD00793724	salivarius	mef(A)	100.00	1218/1218	100.0	1..1218	SAMD00793724.contig00001 len=248578 cov=64.5 corr=0 origname=NODE_1_length_248578_cov_64.454339_pilon sw=shovill-spades/1.1.0 date=20250203	60468..61685	Erythromycin, Azithromycin	U83667
SAMEA104138637	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104138637.contig00001 len=268709 cov=36.5 corr=0 origname=NODE_1_length_268709_cov_36.459796_pilon sw=shovill-spades/1.0.4 date=20181222	63296..64759	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF227520
SAMEA104138637	salivarius	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA104138637.contig00001 len=268709 cov=36.5 corr=0 origname=NODE_1_length_268709_cov_36.459796_pilon sw=shovill-spades/1.0.4 date=20181222	61959..63176	Erythromycin, Azithromycin	AF227520
SAMEA111346957	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111346957.contig00012 len=54465 cov=45.7 corr=0 origname=NODE_12_length_54465_cov_45.705627_pilon sw=shovill-spades/1.1.0 date=20230624	48747..50210	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111346957	salivarius	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA111346957.contig00012 len=54465 cov=45.7 corr=0 origname=NODE_12_length_54465_cov_45.705627_pilon sw=shovill-spades/1.1.0 date=20230624	47410..48627	Erythromycin, Azithromycin	U83667
SAMEA111506114	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111506114.contig00005 len=125941 cov=27.5 corr=0 origname=NODE_5_length_125941_cov_27.456608_pilon sw=shovill-spades/1.1.0 date=20230623	106717..108180	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111506114	salivarius	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA111506114.contig00005 len=125941 cov=27.5 corr=0 origname=NODE_5_length_125941_cov_27.456608_pilon sw=shovill-spades/1.1.0 date=20230623	105380..106597	Erythromycin, Azithromycin	U83667
SAMEA112824118	salivarius	erm(B)	100.00	738/738	100.0	1..738	SAMEA112824118.contig00002 len=234972 cov=49.0 corr=0 origname=NODE_2_length_234972_cov_48.984191_pilon sw=shovill-spades/1.1.0 date=20230623	144824..145561	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
SAMEA112824118	salivarius	tet(M)	100.00	1920/1920	100.0	1..1920	SAMEA112824118.contig00002 len=234972 cov=49.0 corr=0 origname=NODE_2_length_234972_cov_48.984191_pilon sw=shovill-spades/1.1.0 date=20230623	141798..143717	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA114276590	salivarius	msr(D)	99.93	1464/1464	100.0	1..1464	SAMEA114276590.contig00007 len=133789 cov=28.2 corr=0 origname=NODE_7_length_133789_cov_28.247558_pilon sw=shovill-spades/1.1.0 date=20240708	9841..11304	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114276590	salivarius	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114276590.contig00007 len=133789 cov=28.2 corr=0 origname=NODE_7_length_133789_cov_28.247558_pilon sw=shovill-spades/1.1.0 date=20240708	11424..12641	Erythromycin, Azithromycin	U83667
SAMEA114276592	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114276592.contig00007 len=133793 cov=28.5 corr=0 origname=NODE_7_length_133793_cov_28.501204_pilon sw=shovill-spades/1.1.0 date=20240705	9840..11303	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114276592	salivarius	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114276592.contig00007 len=133793 cov=28.5 corr=0 origname=NODE_7_length_133793_cov_28.501204_pilon sw=shovill-spades/1.1.0 date=20240705	11423..12640	Erythromycin, Azithromycin	U83667
SAMEA114309597	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114309597.contig00004 len=226528 cov=29.9 corr=0 origname=NODE_4_length_226528_cov_29.869162_pilon sw=shovill-spades/1.1.0 date=20240707	196383..197846	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114309597	salivarius	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114309597.contig00004 len=226528 cov=29.9 corr=0 origname=NODE_4_length_226528_cov_29.869162_pilon sw=shovill-spades/1.1.0 date=20240707	197966..199183	Erythromycin, Azithromycin	U83667
SAMEA114321088	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114321088.contig00003 len=267255 cov=37.7 corr=0 origname=NODE_3_length_267255_cov_37.743434_pilon sw=shovill-spades/1.1.0 date=20240709	54781..56244	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114321088	salivarius	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114321088.contig00003 len=267255 cov=37.7 corr=0 origname=NODE_3_length_267255_cov_37.743434_pilon sw=shovill-spades/1.1.0 date=20240709	56364..57581	Erythromycin, Azithromycin	U83667
SAMEA114539227	salivarius	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114539227.contig00002 len=240027 cov=34.6 corr=0 origname=NODE_2_length_240027_cov_34.576952_pilon sw=shovill-spades/1.1.0 date=20240806	29144..30607	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114539227	salivarius	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114539227.contig00002 len=240027 cov=34.6 corr=0 origname=NODE_2_length_240027_cov_34.576952_pilon sw=shovill-spades/1.1.0 date=20240806	30727..31944	Erythromycin, Azithromycin	U83667
SAMEA114539251	salivarius	erm(B)	99.86	738/738	100.0	1..738	SAMEA114539251.contig00001 len=360987 cov=32.4 corr=0 origname=NODE_1_length_360987_cov_32.419094_pilon sw=shovill-spades/1.1.0 date=20240806	19773..20510	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA114539251	salivarius	erm(B)	99.86	738/738	100.0	1..738	SAMEA114539251.contig00001 len=360987 cov=32.4 corr=0 origname=NODE_1_length_360987_cov_32.419094_pilon sw=shovill-spades/1.1.0 date=20240806	19773..20510	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
