Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104138650	parasanguinis	tetA(46)	94.67	1725/1725	100.0	1..1725	SAMEA104138650.contig00001 len=1014293 cov=32.1 corr=2 origname=NODE_1_length_1014293_cov_32.065504_pilon sw=shovill-spades/1.0.4 date=20181220	58223..59947	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138650	parasanguinis	tetB(46)	92.41	1712/1737	98.33045480713875	1..1710	SAMEA104138650.contig00001 len=1014293 cov=32.1 corr=2 origname=NODE_1_length_1014293_cov_32.065504_pilon sw=shovill-spades/1.0.4 date=20181220	59949..61658	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138654	parasanguinis	tetA(46)	93.80	1725/1725	100.0	1..1725	SAMEA104138654.contig00013 len=69578 cov=35.3 corr=0 origname=NODE_13_length_69578_cov_35.331918_pilon sw=shovill-spades/1.0.4 date=20181222	13619..15343	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138654	parasanguinis	tetB(46)	92.11	1711/1737	98.38802533103052	1..1710	SAMEA104138654.contig00013 len=69578 cov=35.3 corr=0 origname=NODE_13_length_69578_cov_35.331918_pilon sw=shovill-spades/1.0.4 date=20181222	11908..13617	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138659	parasanguinis	tetA(46)	95.13	1725/1725	100.0	1..1725	SAMEA104138659.contig00001 len=249088 cov=36.8 corr=0 origname=NODE_1_length_249088_cov_36.812633_pilon sw=shovill-spades/1.0.4 date=20181222	74096..75820	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138659	parasanguinis	tetB(46)	92.23	1712/1737	98.33045480713875	1..1710	SAMEA104138659.contig00001 len=249088 cov=36.8 corr=0 origname=NODE_1_length_249088_cov_36.812633_pilon sw=shovill-spades/1.0.4 date=20181222	72385..74094	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138660	parasanguinis	tetA(46)	94.67	1725/1725	100.0	1..1725	SAMEA104138660.contig00001 len=964859 cov=31.9 corr=1 origname=NODE_1_length_964859_cov_31.880190_pilon sw=shovill-spades/1.0.4 date=20181223	8790..10514	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138660	parasanguinis	tetB(46)	92.41	1712/1737	98.33045480713875	1..1710	SAMEA104138660.contig00001 len=964859 cov=31.9 corr=1 origname=NODE_1_length_964859_cov_31.880190_pilon sw=shovill-spades/1.0.4 date=20181223	10516..12225	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114309588	parasanguinis	lsa(C)	94.46	1479/1479	100.0	1..1479	SAMEA114309588.contig00001 len=534851 cov=37.2 corr=1 origname=NODE_1_length_534851_cov_37.227845_pilon sw=shovill-spades/1.1.0 date=20240708	117879..119357	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
SAMEA114309588	parasanguinis	tetA(46)	94.67	1725/1725	100.0	1..1725	SAMEA114309588.contig00004 len=184596 cov=41.0 corr=0 origname=NODE_4_length_184596_cov_41.040903_pilon sw=shovill-spades/1.1.0 date=20240708	146921..148645	Doxycycline, Tetracycline, Tigecycline	HQ652506
