Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104151610	sp001808705	msr(D)	99.93	1464/1464	100.0	1..1464	SAMEA104151610.contig00007 len=107768 cov=28.2 corr=0 origname=NODE_7_length_107768_cov_28.206595_pilon sw=shovill-spades/1.0.4 date=20181221	87599..89062	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104151610	sp001808705	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104151610.contig00007 len=107768 cov=28.2 corr=0 origname=NODE_7_length_107768_cov_28.206595_pilon sw=shovill-spades/1.0.4 date=20181221	89182..90399	Erythromycin, Azithromycin	U83667
SAMEA104151611	sp001808705	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104151611.contig00005 len=80042 cov=29.9 corr=0 origname=NODE_5_length_80042_cov_29.945612_pilon sw=shovill-spades/1.0.4 date=20181221	7618..9081	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104151611	sp001808705	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104151611.contig00005 len=80042 cov=29.9 corr=0 origname=NODE_5_length_80042_cov_29.945612_pilon sw=shovill-spades/1.0.4 date=20181221	6281..7498	Erythromycin, Azithromycin	U83667
SAMEA104151622	sp001808705	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104151622.contig00004 len=184541 cov=29.3 corr=0 origname=NODE_4_length_184541_cov_29.341035_pilon sw=shovill-spades/1.0.4 date=20181222	45916..47379	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104151622	sp001808705	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104151622.contig00004 len=184541 cov=29.3 corr=0 origname=NODE_4_length_184541_cov_29.341035_pilon sw=shovill-spades/1.0.4 date=20181222	44579..45796	Erythromycin, Azithromycin	U83667
SAMEA111503389	sp001808705	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111503389.contig00006 len=159432 cov=48.2 corr=0 origname=NODE_6_length_159432_cov_48.164973_pilon sw=shovill-spades/1.1.0 date=20230624	36010..37473	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111503389	sp001808705	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA111503389.contig00006 len=159432 cov=48.2 corr=0 origname=NODE_6_length_159432_cov_48.164973_pilon sw=shovill-spades/1.1.0 date=20230624	34673..35890	Erythromycin, Azithromycin	U83667
SAMEA111503389	sp001808705	tet(32)	100.00	1920/1920	100.0	1..1920	SAMEA111503389.contig00005 len=183594 cov=58.8 corr=0 origname=NODE_5_length_183594_cov_58.767541_pilon sw=shovill-spades/1.1.0 date=20230624	56794..58713	Doxycycline, Tetracycline, Minocycline	EU722333
SAMN04477510	sp001808705	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN04477510.contig00005 len=143252 cov=28.1 corr=0 origname=NODE_5_length_143252_cov_28.115892_pilon sw=shovill-spades/1.0.4 date=20190103	16084..17547	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN04477510	sp001808705	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN04477510.contig00005 len=143252 cov=28.1 corr=0 origname=NODE_5_length_143252_cov_28.115892_pilon sw=shovill-spades/1.0.4 date=20190103	14747..15964	Erythromycin, Azithromycin	U83667
SAMN16951220	sp001808705	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN16951220.contig00010 len=63968 cov=33.9 corr=0 origname=NODE_10_length_63968_cov_33.939662_pilon sw=shovill-spades/1.1.0 date=20230630	6285..7748	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN16951220	sp001808705	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN16951220.contig00010 len=63968 cov=33.9 corr=0 origname=NODE_10_length_63968_cov_33.939662_pilon sw=shovill-spades/1.1.0 date=20230630	7868..9085	Erythromycin, Azithromycin	U83667
SAMN16951220	sp001808705	erm(B)	99.73	738/738	100.0	1..738	SAMN16951220.contig00024 len=8038 cov=204.8 corr=0 origname=NODE_24_length_8038_cov_204.817081_pilon sw=shovill-spades/1.1.0 date=20230630	4307..5044	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
SAMN16951220	sp001808705	erm(B)	99.73	738/738	100.0	1..738	SAMN16951220.contig00024 len=8038 cov=204.8 corr=0 origname=NODE_24_length_8038_cov_204.817081_pilon sw=shovill-spades/1.1.0 date=20230630	4307..5044	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
