sample_key	GTDB_214	sample	element_symbol	element_name	source
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
NA	NA	SAMEA104113877	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104113877	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA114321104	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA114321104	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA114321104	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA114321104	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197258	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMN03197258	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN03197258	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN03197258	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197508	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN03197508	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197583	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN03197583	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN03197583	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN03197583	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN03197583	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197851	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN03197851	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN03197851	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197851	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN04477535	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN04477535	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN04477535	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN04477535	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN04477535	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN04498651	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN04498651	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN04498651	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN04498651	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN26876551	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN26876551	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN26876551	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN26876551	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN26876551	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN26876576	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN26876576	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN26876576	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN26876576	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
NA	NA	SAMN26876576	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN26876576	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN41328233	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN41328233	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN41328233	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
NA	NA	SAMN41328233	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN41328233	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
