Genome	Species	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMEA104113826	xiaochunlingii	NA	SAMEA104113826.contig00011	16345	18066	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	90.24	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMEA104113826	xiaochunlingii	NA	SAMEA104113826.contig00011	18071	19804	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	578	578	100.00	92.91	578	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMEA104113842	xiaochunlingii	NA	SAMEA104113842.contig00001	200944	202404	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMEA104113842	xiaochunlingii	NA	SAMEA104113842.contig00001	202527	203741	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMEA104113842	xiaochunlingii	NA	SAMEA104113842.contig00006	115263	116996	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	578	578	100.00	92.21	578	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMEA104113842	xiaochunlingii	NA	SAMEA104113842.contig00006	117001	118722	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	91.64	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMEA104151634	xiaochunlingii	NA	SAMEA104151634.contig00001	140942	142858	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.53	639	WP_002414694.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA104151639	xiaochunlingii	NA	SAMEA104151639.contig00001	282299	284215	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_002414694.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA104151639	xiaochunlingii	NA	SAMEA104151639.contig00001	327221	328954	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	578	578	100.00	95.50	578	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMEA104151639	xiaochunlingii	NA	SAMEA104151639.contig00001	328959	330680	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	98.95	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
