Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104138666	parasanguinis_D	tetA(46)	95.19	1725/1725	100.0	1..1725	SAMEA104138666.contig00001 len=642314 cov=34.7 corr=1 origname=NODE_1_length_642314_cov_34.702557_pilon sw=shovill-spades/1.0.4 date=20181223	233634..235358	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138666	parasanguinis_D	tetB(46)	91.87	1722/1737	99.02130109383995	1..1721	SAMEA104138666.contig00001 len=642314 cov=34.7 corr=1 origname=NODE_1_length_642314_cov_34.702557_pilon sw=shovill-spades/1.0.4 date=20181223	235360..237080	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA111346985	parasanguinis_D	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111346985.contig00001 len=468804 cov=37.5 corr=0 origname=NODE_1_length_468804_cov_37.518572_pilon sw=shovill-spades/1.1.0 date=20230623	45835..47298	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111346985	parasanguinis_D	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA111346985.contig00001 len=468804 cov=37.5 corr=0 origname=NODE_1_length_468804_cov_37.518572_pilon sw=shovill-spades/1.1.0 date=20230623	47418..48635	Erythromycin, Azithromycin	U83667
SAMEA111346985	parasanguinis_D	tetA(46)	95.25	1725/1725	100.0	1..1725	SAMEA111346985.contig00017 len=26975 cov=42.1 corr=0 origname=NODE_17_length_26975_cov_42.140630_pilon sw=shovill-spades/1.1.0 date=20230623	22671..24395	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA111346985	parasanguinis_D	tetB(46)	91.87	1722/1737	99.02130109383995	1..1721	SAMEA111346985.contig00017 len=26975 cov=42.1 corr=0 origname=NODE_17_length_26975_cov_42.140630_pilon sw=shovill-spades/1.1.0 date=20230623	20949..22669	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA111347020	parasanguinis_D	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111347020.contig00001 len=468924 cov=38.6 corr=0 origname=NODE_1_length_468924_cov_38.631292_pilon sw=shovill-spades/1.1.0 date=20230624	45843..47306	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111347020	parasanguinis_D	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA111347020.contig00001 len=468924 cov=38.6 corr=0 origname=NODE_1_length_468924_cov_38.631292_pilon sw=shovill-spades/1.1.0 date=20230624	47426..48643	Erythromycin, Azithromycin	U83667
SAMEA111347020	parasanguinis_D	tetA(46)	95.25	1725/1725	100.0	1..1725	SAMEA111347020.contig00002 len=430319 cov=39.5 corr=0 origname=NODE_2_length_430319_cov_39.468008_pilon sw=shovill-spades/1.1.0 date=20230624	2589..4313	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA111347020	parasanguinis_D	tetB(46)	91.87	1722/1737	99.02130109383995	1..1721	SAMEA111347020.contig00002 len=430319 cov=39.5 corr=0 origname=NODE_2_length_430319_cov_39.468008_pilon sw=shovill-spades/1.1.0 date=20230624	4315..6035	Doxycycline, Tetracycline, Tigecycline	HQ652506
