sample_key	GTDB_214	sample	element_symbol	element_name	source
68g	gordonii	68g	NA	NA	rmarvig
106g	gordonii	106g	NA	NA	rmarvig
42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
NA	NA	SAMEA3882114	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA3882114	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA3919118	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	atb
NA	NA	SAMEA4929458	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA4929458	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA5192251	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA5192251	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA5192252	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA5192252	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA5192253	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA5192253	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA5192262	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5192262	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMEA5192264	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5192265	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA5192265	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA5192266	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5390902	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5390913	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN03197981	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN04477596	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN04477596	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN04477596	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN04875583	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN04875583	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631702	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
