Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA114539163	ilei	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114539163.contig00003 len=347399 cov=36.0 corr=0 origname=NODE_3_length_347399_cov_35.998788_pilon sw=shovill-spades/1.1.0 date=20240806	90081..91544	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114539163	ilei	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114539163.contig00003 len=347399 cov=36.0 corr=0 origname=NODE_3_length_347399_cov_35.998788_pilon sw=shovill-spades/1.1.0 date=20240806	91664..92881	Erythromycin, Azithromycin	U83667
SAMEA114539258	ilei	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114539258.contig00001 len=933667 cov=33.4 corr=0 origname=NODE_1_length_933667_cov_33.434476_pilon sw=shovill-spades/1.1.0 date=20240806	666265..667728	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114539258	ilei	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA114539258.contig00001 len=933667 cov=33.4 corr=0 origname=NODE_1_length_933667_cov_33.434476_pilon sw=shovill-spades/1.1.0 date=20240806	667848..669065	Erythromycin, Azithromycin	U83667
SAMEA3180705	ilei	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA3180705.contig00006 len=117993 cov=37.0 corr=0 origname=NODE_6_length_117993_cov_36.986084_pilon sw=shovill-spades/1.0.4 date=20190119	73228..74691	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA3180705	ilei	lsa(C)	94.46	1479/1479	100.0	1..1479	SAMEA3180705.contig00006 len=117993 cov=37.0 corr=0 origname=NODE_6_length_117993_cov_36.986084_pilon sw=shovill-spades/1.0.4 date=20190119	91591..93069	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
SAMEA3180705	ilei	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA3180705.contig00006 len=117993 cov=37.0 corr=0 origname=NODE_6_length_117993_cov_36.986084_pilon sw=shovill-spades/1.0.4 date=20190119	71891..73108	Erythromycin, Azithromycin	U83667
SAMEA3180705	ilei	tet(M)	100.00	1920/1920	100.0	1..1920	SAMEA3180705.contig00006 len=117993 cov=37.0 corr=0 origname=NODE_6_length_117993_cov_36.986084_pilon sw=shovill-spades/1.0.4 date=20190119	76417..78336	Doxycycline, Tetracycline, Minocycline	X90939
SAMEA682316	ilei	tet(M)	99.48	1920/1920	100.0	1..1920	SAMEA682316.contig00002 len=233877 cov=24.5 corr=0 origname=NODE_2_length_233877_cov_24.476255_pilon sw=shovill-spades/1.0.4 date=20190211	166107..168026	Doxycycline, Tetracycline, Minocycline	X90939
SAMEA682316	ilei	tetA(46)	88.12	1725/1725	100.0	1..1725	SAMEA682316.contig00007 len=95286 cov=23.5 corr=0 origname=NODE_7_length_95286_cov_23.535876_pilon sw=shovill-spades/1.0.4 date=20190211	86674..88398	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA682316	ilei	tetB(46)	86.13	1737/1737	100.0	1..1737	SAMEA682316.contig00007 len=95286 cov=23.5 corr=0 origname=NODE_7_length_95286_cov_23.535876_pilon sw=shovill-spades/1.0.4 date=20190211	84936..86672	Doxycycline, Tetracycline, Tigecycline	HQ652506
