Genome	Species	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMN02344616	anginosus_C	NA	SAMN02344616.contig00001	220646	222562	+	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
SAMN02344616	anginosus_C	NA	SAMN02344616.contig00001	375722	376936	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMN02344616	anginosus_C	NA	SAMN02344616.contig00001	377059	378519	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMN02344618	anginosus_C	NA	SAMN02344618.contig00001	232949	234865	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.22	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMN02344618	anginosus_C	NA	SAMN02344618.contig00001	235975	236709	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
SAMN03197009	anginosus_C	NA	SAMN03197009.contig00003	99540	100274	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.18	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
SAMN03197009	anginosus_C	NA	SAMN03197009.contig00003	109069	110985	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.75	639	WP_000691729.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMN03197756	anginosus_C	NA	SAMN03197756.contig00002	335769	336983	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMN03197756	anginosus_C	NA	SAMN03197756.contig00002	337106	338566	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMN04477579	anginosus_C	NA	SAMN04477579.contig00034	1672	3132	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMN04477579	anginosus_C	NA	SAMN04477579.contig00034	3255	4469	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMN04477579	anginosus_C	NA	SAMN04477579.contig00042	1	1281	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	427	639	66.82	99.77	427	WP_000691743.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMN04477598	anginosus_C	NA	SAMN04477598.contig00001	215829	217745	+	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
SAMN04498868	anginosus_C	NA	SAMN04498868.contig00002	74278	76194	-	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_003505402.1	tetracycline resistance ribosomal protection protein Tet(32)	NA	NA
SAMN12797013	anginosus_C	NA	SAMN12797013.contig00012	14968	15702	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
