Genome	Species	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMEA104042173	anginosus	NA	SAMEA104042173.contig00005	11335	11826	-	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	164	164	100.00	100.00	164	WP_002322211.1	trimethoprim-resistant dihydrofolate reductase DfrF	NA	NA
SAMEA104208644	anginosus	NA	SAMEA104208644.contig00002	43595	45511	+	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.53	639	WP_063856405.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
SAMEA11023521	anginosus	NA	SAMEA11023521.contig00005	41294	43210	-	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.37	639	WP_063856405.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
SAMEA11023521	anginosus	NA	SAMEA11023521.contig00005	128734	130194	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	487	487	100.00	93.22	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMEA11023521	anginosus	NA	SAMEA11023521.contig00005	130317	131531	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.26	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMEA111504211	anginosus	NA	SAMEA111504211.contig00004	110201	110935	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
SAMEA111504211	anginosus	NA	SAMEA111504211.contig00004	120853	122769	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691746.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA114539101	anginosus	NA	SAMEA114539101.contig00001	501178	501912	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
SAMEA114539101	anginosus	NA	SAMEA114539101.contig00001	511830	513746	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.69	639	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMEA114539101	anginosus	NA	SAMEA114539101.contig00001	514225	515577	+	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	451	458	98.47	98.67	451	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	NA	NA
SAMEA114539114	anginosus	NA	SAMEA114539114.contig00001	501178	501912	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
