sample_key	GTDB_214	sample	element_symbol	element_name	source
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
98cp	ilei	098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
98cap	ilei	98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
NA	NA	SAMEA114539163	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA114539163	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA114539258	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA114539258	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA3180705	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA3180705	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA3180705	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA3180705	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
NA	NA	SAMEA682316	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA682316	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA682316	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN15063829	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN15063829	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN15063829	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN15063829	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN15063829	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN41329155	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN41329155	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
