Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104113816	cristatus	tet(M)	98.39	1920/1920	100.0	1..1920	SAMEA104113816.contig00004 len=162923 cov=33.4 corr=0 origname=NODE_4_length_162923_cov_33.388734_pilon sw=shovill-spades/1.0.4 date=20181221	59876..61795	Doxycycline, Tetracycline, Minocycline	U58985
SAMEA104113818	cristatus	tet(M)	99.69	1920/1920	100.0	1..1920	SAMEA104113818.contig00012 len=36135 cov=17.9 corr=0 origname=NODE_12_length_36135_cov_17.937015_pilon sw=shovill-spades/1.0.4 date=20181223	10430..12349	Doxycycline, Tetracycline, Minocycline	FR671418
SAMEA104113819	cristatus	erm(B)	100.00	738/738	100.0	1..738	SAMEA104113819.contig00002 len=343870 cov=35.6 corr=0 origname=NODE_2_length_343870_cov_35.605760_pilon sw=shovill-spades/1.0.4 date=20181222	87845..88582	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
SAMEA104113819	cristatus	tet(M)	99.53	1920/1920	100.0	1..1920	SAMEA104113819.contig00002 len=343870 cov=35.6 corr=0 origname=NODE_2_length_343870_cov_35.605760_pilon sw=shovill-spades/1.0.4 date=20181222	89689..91608	Doxycycline, Tetracycline, Minocycline	X92947
SAMEA104113820	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104113820.contig00002 len=527057 cov=32.1 corr=0 origname=NODE_2_length_527057_cov_32.086516_pilon sw=shovill-spades/1.0.4 date=20181221	99329..100792	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF227520
SAMEA104113820	cristatus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104113820.contig00002 len=527057 cov=32.1 corr=0 origname=NODE_2_length_527057_cov_32.086516_pilon sw=shovill-spades/1.0.4 date=20181221	97992..99209	Erythromycin, Azithromycin	AF227520
SAMEA112143520	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA112143520.contig00001 len=672140 cov=18.7 corr=0 origname=NODE_1_length_672140_cov_18.671438_pilon sw=shovill-spades/1.1.0 date=20230626	100540..102003	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA112143520	cristatus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA112143520.contig00001 len=672140 cov=18.7 corr=0 origname=NODE_1_length_672140_cov_18.671438_pilon sw=shovill-spades/1.1.0 date=20230626	99203..100420	Erythromycin, Azithromycin	U83667
SAMEA112143522	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA112143522.contig00001 len=956251 cov=28.7 corr=0 origname=NODE_1_length_956251_cov_28.683713_pilon sw=shovill-spades/1.1.0 date=20230623	384765..386228	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA112143522	cristatus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA112143522.contig00001 len=956251 cov=28.7 corr=0 origname=NODE_1_length_956251_cov_28.683713_pilon sw=shovill-spades/1.1.0 date=20230623	383428..384645	Erythromycin, Azithromycin	U83667
SAMEA112654020	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA112654020.contig00001 len=754573 cov=25.9 corr=0 origname=NODE_1_length_754573_cov_25.914912_pilon sw=shovill-spades/1.1.0 date=20230623	367980..369443	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA112654020	cristatus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA112654020.contig00001 len=754573 cov=25.9 corr=0 origname=NODE_1_length_754573_cov_25.914912_pilon sw=shovill-spades/1.1.0 date=20230623	369563..370780	Erythromycin, Azithromycin	U83667
SAMEA114552411	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114552411.contig00001 len=703347 cov=40.3 corr=0 origname=NODE_1_length_703347_cov_40.344577_pilon sw=shovill-spades/1.1.0 date=20240701	601345..602808	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114552411	cristatus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114552411.contig00001 len=703347 cov=40.3 corr=0 origname=NODE_1_length_703347_cov_40.344577_pilon sw=shovill-spades/1.1.0 date=20240701	602928..604145	Erythromycin, Azithromycin	U83667
SAMEA115606578	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA115606578.contig00001 len=704433 cov=39.3 corr=0 origname=NODE_1_length_704433_cov_39.347754_pilon sw=shovill-spades/1.1.0 date=20240804	100540..102003	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA115606578	cristatus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA115606578.contig00001 len=704433 cov=39.3 corr=0 origname=NODE_1_length_704433_cov_39.347754_pilon sw=shovill-spades/1.1.0 date=20240804	99203..100420	Erythromycin, Azithromycin	U83667
SAMEA117078776	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA117078776.contig00001 len=726027 cov=24.1 corr=0 origname=NODE_1_length_726027_cov_24.083434_pilon sw=shovill-spades/1.1.0 date=20250207	107006..108469	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA117078776	cristatus	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA117078776.contig00001 len=726027 cov=24.1 corr=0 origname=NODE_1_length_726027_cov_24.083434_pilon sw=shovill-spades/1.1.0 date=20250207	105669..106886	Erythromycin, Azithromycin	U83667
SAMEA2554088	cristatus	tet(M)	99.90	1920/1920	100.0	1..1920	SAMEA2554088.contig00001 len=519528 cov=29.1 corr=0 origname=NODE_1_length_519528_cov_29.135637_pilon sw=shovill-spades/1.0.4 date=20190113	413806..415725	Doxycycline, Tetracycline, Minocycline	X75073
SAMN03196976	cristatus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN03196976.contig00001 len=355901 cov=16.9 corr=0 origname=NODE_1_length_355901_cov_16.890273_pilon sw=shovill-spades/1.0.4 date=20190301	96898..98361	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN03196976	cristatus	mef(A)	99.92	1218/1218	100.0	1..1218	SAMN03196976.contig00001 len=355901 cov=16.9 corr=0 origname=NODE_1_length_355901_cov_16.890273_pilon sw=shovill-spades/1.0.4 date=20190301	95561..96778	Erythromycin, Azithromycin	U83667
