sample_key	GTDB_214	sample	element_symbol	element_name	source
110am	infantis_F	110Am-CMPN001x56_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
110am	infantis_F	110Am-CMPN001x56_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
118pim	infantis_F	118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
118pim	infantis_F	118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
118pim	infantis_F	118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
118pim	infantis_F	118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
NA	NA	SAMEA104151606	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA104151606	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA104151606	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA114313529	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA114313529	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA114593803	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA114593803	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA117078652	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	atb
NA	NA	SAMEA5390841	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA5390841	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA5390841	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN03197628	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN03197628	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN03197628	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09874923	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09874923	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN41438184	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN41438184	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN41438184	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA104151607	NA	NA	atb
NA	NA	SAMEA114309592	NA	NA	atb
NA	NA	SAMEA114593663	NA	NA	atb
NA	NA	SAMEA115092757	NA	NA	atb
NA	NA	SAMEA115606555	NA	NA	atb
NA	NA	SAMEA7704692	NA	NA	atb
NA	NA	SAMN09874925	NA	NA	atb
NA	NA	SAMN13324931	NA	NA	atb
