Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104208644	anginosus	tet(O)	99.64	1920/1920	100.0	1..1920	SAMEA104208644.contig00002 len=167400 cov=17.1 corr=0 origname=NODE_2_length_167400_cov_17.076078_pilon sw=shovill-spades/1.0.4 date=20181222	43595..45514	Doxycycline, Tetracycline, Minocycline	M20925
SAMEA11023521	anginosus	msr(D)	95.08	1464/1464	100.0	1..1464	SAMEA11023521.contig00005 len=139183 cov=21.4 corr=0 origname=NODE_5_length_139183_cov_21.393063_pilon sw=shovill-spades/1.1.0 date=20230624	128731..130194	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA11023521	anginosus	mef(A)	99.59	1218/1218	100.0	1..1218	SAMEA11023521.contig00005 len=139183 cov=21.4 corr=0 origname=NODE_5_length_139183_cov_21.393063_pilon sw=shovill-spades/1.1.0 date=20230624	130314..131531	Erythromycin, Azithromycin	U83667
SAMEA11023521	anginosus	tet(O)	99.58	1920/1920	100.0	1..1920	SAMEA11023521.contig00005 len=139183 cov=21.4 corr=0 origname=NODE_5_length_139183_cov_21.393063_pilon sw=shovill-spades/1.1.0 date=20230624	41291..43210	Doxycycline, Tetracycline, Minocycline	M20925
SAMEA111504211	anginosus	erm(B)	100.00	738/738	100.0	1..738	SAMEA111504211.contig00004 len=141704 cov=18.3 corr=0 origname=NODE_4_length_141704_cov_18.276885_pilon sw=shovill-spades/1.1.0 date=20230624	110201..110938	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA111504211	anginosus	tet(M)	98.12	1920/1920	100.0	1..1920	SAMEA111504211.contig00004 len=141704 cov=18.3 corr=0 origname=NODE_4_length_141704_cov_18.276885_pilon sw=shovill-spades/1.1.0 date=20230624	120853..122772	Doxycycline, Tetracycline, Minocycline	X90939
SAMEA114539101	anginosus	erm(B)	100.00	738/738	100.0	1..738	SAMEA114539101.contig00001 len=690843 cov=34.5 corr=0 origname=NODE_1_length_690843_cov_34.506784_pilon sw=shovill-spades/1.1.0 date=20240806	501178..501915	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA114539101	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539101.contig00001 len=690843 cov=34.5 corr=0 origname=NODE_1_length_690843_cov_34.506784_pilon sw=shovill-spades/1.1.0 date=20240806	511830..513749	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA114539101	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539101.contig00001 len=690843 cov=34.5 corr=0 origname=NODE_1_length_690843_cov_34.506784_pilon sw=shovill-spades/1.1.0 date=20240806	511830..513749	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA114539101	anginosus	tet(L)	99.93	1343/1377	97.53086419753086	35..1377	SAMEA114539101.contig00001 len=690843 cov=34.5 corr=0 origname=NODE_1_length_690843_cov_34.506784_pilon sw=shovill-spades/1.1.0 date=20240806	514238..515580	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	M29725
SAMEA114539114	anginosus	erm(B)	100.00	738/738	100.0	1..738	SAMEA114539114.contig00001 len=680346 cov=37.2 corr=0 origname=NODE_1_length_680346_cov_37.228378_pilon sw=shovill-spades/1.1.0 date=20240806	501178..501915	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA114539114	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539114.contig00001 len=680346 cov=37.2 corr=0 origname=NODE_1_length_680346_cov_37.228378_pilon sw=shovill-spades/1.1.0 date=20240806	511830..513749	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA114539114	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539114.contig00001 len=680346 cov=37.2 corr=0 origname=NODE_1_length_680346_cov_37.228378_pilon sw=shovill-spades/1.1.0 date=20240806	511830..513749	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA114539114	anginosus	tet(L)	99.93	1343/1377	97.53086419753086	35..1377	SAMEA114539114.contig00001 len=680346 cov=37.2 corr=0 origname=NODE_1_length_680346_cov_37.228378_pilon sw=shovill-spades/1.1.0 date=20240806	514238..515580	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	M29725
SAMEA114539135	anginosus	erm(B)	100.00	738/738	100.0	1..738	SAMEA114539135.contig00001 len=679858 cov=34.7 corr=0 origname=NODE_1_length_679858_cov_34.718600_pilon sw=shovill-spades/1.1.0 date=20240806	177981..178718	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA114539135	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539135.contig00001 len=679858 cov=34.7 corr=0 origname=NODE_1_length_679858_cov_34.718600_pilon sw=shovill-spades/1.1.0 date=20240806	166147..168066	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA114539135	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539135.contig00001 len=679858 cov=34.7 corr=0 origname=NODE_1_length_679858_cov_34.718600_pilon sw=shovill-spades/1.1.0 date=20240806	166147..168066	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA114539135	anginosus	tet(L)	99.93	1343/1377	97.53086419753086	35..1377	SAMEA114539135.contig00001 len=679858 cov=34.7 corr=0 origname=NODE_1_length_679858_cov_34.718600_pilon sw=shovill-spades/1.1.0 date=20240806	164316..165658	Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline	M29725
SAMEA114539139	anginosus	erm(B)	100.00	738/738	100.0	1..738	SAMEA114539139.contig00001 len=620203 cov=42.0 corr=0 origname=NODE_1_length_620203_cov_41.991696_pilon sw=shovill-spades/1.1.0 date=20240806	501141..501878	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA114539139	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539139.contig00001 len=620203 cov=42.0 corr=0 origname=NODE_1_length_620203_cov_41.991696_pilon sw=shovill-spades/1.1.0 date=20240806	511793..513712	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA114539139	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA114539139.contig00001 len=620203 cov=42.0 corr=0 origname=NODE_1_length_620203_cov_41.991696_pilon sw=shovill-spades/1.1.0 date=20240806	511793..513712	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA114539139	anginosus	tet(L)	99.93	1343/1377	97.53086419753086	35..1377	SAMEA114539139.contig00001 len=620203 cov=42.0 corr=0 origname=NODE_1_length_620203_cov_41.991696_pilon sw=shovill-spades/1.1.0 date=20240806	514201..515543	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	M29725
SAMEA114539248	anginosus	tet(M)	95.15	1919/1920	99.94791666666667	1..1919	SAMEA114539248.contig00003 len=195946 cov=50.1 corr=0 origname=NODE_3_length_195946_cov_50.089907_pilon sw=shovill-spades/1.1.0 date=20240806	137625..139543	Doxycycline, Tetracycline, Minocycline	JN846696
SAMEA115092732	anginosus	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA115092732.contig00002 len=341225 cov=31.2 corr=0 origname=NODE_2_length_341225_cov_31.202498_pilon sw=shovill-spades/1.1.0 date=20240629	223814..225277	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA115092732	anginosus	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA115092732.contig00002 len=341225 cov=31.2 corr=0 origname=NODE_2_length_341225_cov_31.202498_pilon sw=shovill-spades/1.1.0 date=20240629	222477..223694	Erythromycin, Azithromycin	U83667
SAMEA115092732	anginosus	tet(M)	99.74	1920/1920	100.0	1..1920	SAMEA115092732.contig00002 len=341225 cov=31.2 corr=0 origname=NODE_2_length_341225_cov_31.202498_pilon sw=shovill-spades/1.1.0 date=20240629	227003..228922	Doxycycline, Tetracycline, Minocycline	FR671418
SAMEA115092732	anginosus	tet(32)	100.00	1920/1920	100.0	1..1920	SAMEA115092732.contig00009 len=90111 cov=35.9 corr=0 origname=NODE_9_length_90111_cov_35.939822_pilon sw=shovill-spades/1.1.0 date=20240629	86446..88365	Doxycycline, Tetracycline, Minocycline	EU722333
SAMEA115875069	anginosus	erm(T)	100.00	735/735	100.0	1..735	SAMEA115875069.contig00048 len=1763 cov=233.8 corr=0 origname=NODE_52_length_1763_cov_233.846292_pilon sw=shovill-spades/1.1.0 date=20240805	769..1503	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AY894138
SAMEA115875069	anginosus	tet(M)	97.55	1920/1920	100.0	1..1920	SAMEA115875069.contig00004 len=108379 cov=40.8 corr=0 origname=NODE_4_length_108379_cov_40.761839_pilon sw=shovill-spades/1.1.0 date=20240805	561..2480	Doxycycline, Tetracycline, Minocycline	EU182585
SAMEA115875069	anginosus	tet(L)	99.93	1343/1377	97.53086419753086	35..1377	SAMEA115875069.contig00004 len=108379 cov=40.8 corr=0 origname=NODE_4_length_108379_cov_40.761839_pilon sw=shovill-spades/1.1.0 date=20240805	2609..3951	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	M29725
SAMEA3319274	anginosus	erm(A)	100.00	732/732	100.0	1..732	SAMEA3319274.contig00001 len=279801 cov=30.2 corr=0 origname=NODE_1_length_279801_cov_30.169121_pilon sw=shovill-spades/1.0.4 date=20190216	15702..16433	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMEA3319291	anginosus	tet(M)	98.96	1920/1920	99.94791666666667	1..1920	SAMEA3319291.contig00003 len=125276 cov=27.2 corr=0 origname=NODE_3_length_125276_cov_27.217681_pilon sw=shovill-spades/1.0.4 date=20190218	25716..27634	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA3319291	anginosus	tet(M)	98.96	1920/1920	99.94791666666667	1..1920	SAMEA3319291.contig00003 len=125276 cov=27.2 corr=0 origname=NODE_3_length_125276_cov_27.217681_pilon sw=shovill-spades/1.0.4 date=20190218	25716..27634	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA3319291	anginosus	tet(L)	100.00	1343/1377	97.53086419753086	35..1377	SAMEA3319291.contig00003 len=125276 cov=27.2 corr=0 origname=NODE_3_length_125276_cov_27.217681_pilon sw=shovill-spades/1.0.4 date=20190218	28123..29465	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	M29725
SAMEA3319344	anginosus	msr(D)	99.73	1464/1464	100.0	1..1464	SAMEA3319344.contig00012 len=68350 cov=37.0 corr=0 origname=NODE_12_length_68350_cov_36.951238_pilon sw=shovill-spades/1.0.4 date=20190217	58076..59539	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA3319344	anginosus	mef(A)	99.75	1218/1218	100.0	1..1218	SAMEA3319344.contig00012 len=68350 cov=37.0 corr=0 origname=NODE_12_length_68350_cov_36.951238_pilon sw=shovill-spades/1.0.4 date=20190217	59659..60876	Erythromycin, Azithromycin	U83667
SAMEA3319344	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA3319344.contig00003 len=133361 cov=34.8 corr=0 origname=NODE_3_length_133361_cov_34.771102_pilon sw=shovill-spades/1.0.4 date=20190217	109300..111219	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA3319344	anginosus	tet(M)	99.01	1920/1920	100.0	1..1920	SAMEA3319344.contig00003 len=133361 cov=34.8 corr=0 origname=NODE_3_length_133361_cov_34.771102_pilon sw=shovill-spades/1.0.4 date=20190217	109300..111219	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA3319344	anginosus	tet(L)	100.00	1343/1377	97.53086419753086	35..1377	SAMEA3319344.contig00003 len=133361 cov=34.8 corr=0 origname=NODE_3_length_133361_cov_34.771102_pilon sw=shovill-spades/1.0.4 date=20190217	107478..108820	Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline	M29725
SAMEA3319397	anginosus	erm(A)	99.86	732/732	100.0	1..732	SAMEA3319397.contig00007 len=92403 cov=28.4 corr=0 origname=NODE_7_length_92403_cov_28.411962_pilon sw=shovill-spades/1.0.4 date=20190217	81963..82694	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMEA3319397	anginosus	tet(M)	99.90	1920/1920	100.0	1..1920	SAMEA3319397.contig00004 len=118685 cov=28.2 corr=0 origname=NODE_4_length_118685_cov_28.200749_pilon sw=shovill-spades/1.0.4 date=20190217	20805..22724	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA3319397	anginosus	tet(O)	99.58	1920/1920	100.0	1..1920	SAMEA3319397.contig00007 len=92403 cov=28.4 corr=0 origname=NODE_7_length_92403_cov_28.411962_pilon sw=shovill-spades/1.0.4 date=20190217	50589..52508	Doxycycline, Tetracycline, Minocycline	M20925
SAMEA3594164	anginosus	erm(A)	100.00	732/732	100.0	1..732	SAMEA3594164.contig00001 len=278187 cov=28.3 corr=0 origname=NODE_1_length_278187_cov_28.252006_pilon sw=shovill-spades/1.0.4 date=20190214	263356..264087	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMEA3594195	anginosus	erm(A)	100.00	732/732	100.0	1..732	SAMEA3594195.contig00001 len=325127 cov=30.2 corr=0 origname=NODE_1_length_325127_cov_30.163687_pilon sw=shovill-spades/1.0.4 date=20190217	61040..61771	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMEA3594209	anginosus	tet(M)	98.96	1920/1920	99.94791666666667	1..1920	SAMEA3594209.contig00004 len=125434 cov=28.8 corr=0 origname=NODE_4_length_125434_cov_28.758645_pilon sw=shovill-spades/1.0.4 date=20190217	97813..99731	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA3594209	anginosus	tet(M)	98.96	1920/1920	99.94791666666667	1..1920	SAMEA3594209.contig00004 len=125434 cov=28.8 corr=0 origname=NODE_4_length_125434_cov_28.758645_pilon sw=shovill-spades/1.0.4 date=20190217	97813..99731	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA3594209	anginosus	tet(L)	100.00	1343/1377	97.53086419753086	35..1377	SAMEA3594209.contig00004 len=125434 cov=28.8 corr=0 origname=NODE_4_length_125434_cov_28.758645_pilon sw=shovill-spades/1.0.4 date=20190217	95982..97324	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	M29725
SAMEA3594226	anginosus	erm(A)	100.00	732/732	100.0	1..732	SAMEA3594226.contig00001 len=279777 cov=30.8 corr=0 origname=NODE_1_length_279777_cov_30.803897_pilon sw=shovill-spades/1.0.4 date=20190217	263357..264088	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF002716
SAMEA3882158	anginosus	tet(M)	99.64	1920/1920	100.0	1..1920	SAMEA3882158.contig00027 len=17368 cov=35.1 corr=0 origname=NODE_27_length_17368_cov_35.131644_pilon sw=shovill-spades/1.0.4 date=20190218	13447..15366	Doxycycline, Tetracycline, Minocycline	X92947
SAMEA3882161	anginosus	tet(32)	100.00	1920/1920	100.0	1..1920	SAMEA3882161.contig00012 len=59368 cov=40.7 corr=0 origname=NODE_12_length_59368_cov_40.673835_pilon sw=shovill-spades/1.0.4 date=20190123	32586..34505	Doxycycline, Tetracycline, Minocycline	EF626943
