Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104113877	parasanguinis_I	tetA(46)	94.20	1725/1725	100.0	1..1725	SAMEA104113877.contig00001 len=515163 cov=36.6 corr=0 origname=NODE_1_length_515163_cov_36.612219_pilon sw=shovill-spades/1.0.4 date=20181222	102978..104702	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104113877	parasanguinis_I	tetB(46)	90.48	1722/1737	99.02130109383995	1..1721	SAMEA104113877.contig00001 len=515163 cov=36.6 corr=0 origname=NODE_1_length_515163_cov_36.612219_pilon sw=shovill-spades/1.0.4 date=20181222	101256..102976	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114321104	parasanguinis_I	msr(D)	99.93	1464/1464	100.0	1..1464	SAMEA114321104.contig00001 len=586372 cov=35.7 corr=0 origname=NODE_1_length_586372_cov_35.736624_pilon sw=shovill-spades/1.1.0 date=20240709	293129..294592	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114321104	parasanguinis_I	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114321104.contig00001 len=586372 cov=35.7 corr=0 origname=NODE_1_length_586372_cov_35.736624_pilon sw=shovill-spades/1.1.0 date=20240709	294712..295929	Erythromycin, Azithromycin	U83667
SAMEA114321104	parasanguinis_I	tetA(46)	94.96	1725/1725	100.0	1..1725	SAMEA114321104.contig00002 len=301927 cov=38.6 corr=0 origname=NODE_2_length_301927_cov_38.649714_pilon sw=shovill-spades/1.1.0 date=20240709	288553..290277	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114321104	parasanguinis_I	tetB(46)	92.73	1733/1737	99.65457685664938	1..1732	SAMEA114321104.contig00002 len=301927 cov=38.6 corr=0 origname=NODE_2_length_301927_cov_38.649714_pilon sw=shovill-spades/1.1.0 date=20240709	290279..292010	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197258	parasanguinis_I	erm(B)	99.86	738/738	100.0	1..738	SAMN03197258.contig00003 len=204785 cov=13.9 corr=3 origname=NODE_3_length_204785_cov_13.860774_pilon sw=shovill-spades/1.0.4 date=20190225	8509..9246	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMN03197258	parasanguinis_I	erm(B)	99.86	738/738	100.0	1..738	SAMN03197258.contig00003 len=204785 cov=13.9 corr=3 origname=NODE_3_length_204785_cov_13.860774_pilon sw=shovill-spades/1.0.4 date=20190225	8509..9246	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
SAMN03197258	parasanguinis_I	tet(M)	100.00	1920/1920	100.0	1..1920	SAMN03197258.contig00003 len=204785 cov=13.9 corr=3 origname=NODE_3_length_204785_cov_13.860774_pilon sw=shovill-spades/1.0.4 date=20190225	10353..12272	Doxycycline, Tetracycline, Minocycline	X04388
SAMN03197258	parasanguinis_I	tetA(46)	94.55	1725/1725	100.0	1..1725	SAMN03197258.contig00005 len=196705 cov=13.2 corr=0 origname=NODE_5_length_196705_cov_13.170816_pilon sw=shovill-spades/1.0.4 date=20190225	131176..132900	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197258	parasanguinis_I	tetB(46)	92.05	1723/1737	98.96373056994818	1..1721	SAMN03197258.contig00005 len=196705 cov=13.2 corr=0 origname=NODE_5_length_196705_cov_13.170816_pilon sw=shovill-spades/1.0.4 date=20190225	132902..134622	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197508	parasanguinis_I	tetA(46)	94.03	1725/1725	100.0	1..1725	SAMN03197508.contig00005 len=127549 cov=7.6 corr=0 origname=NODE_5_length_127549_cov_7.639193_pilon sw=shovill-spades/1.0.4 date=20190227	8317..10041	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197508	parasanguinis_I	tetB(46)	92.22	1722/1737	99.02130109383995	1..1721	SAMN03197508.contig00005 len=127549 cov=7.6 corr=0 origname=NODE_5_length_127549_cov_7.639193_pilon sw=shovill-spades/1.0.4 date=20190227	10043..11763	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197583	parasanguinis_I	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN03197583.contig00001 len=431052 cov=10.3 corr=0 origname=NODE_1_length_431052_cov_10.282560_pilon sw=shovill-spades/1.0.4 date=20190301	90879..92342	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN03197583	parasanguinis_I	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN03197583.contig00001 len=431052 cov=10.3 corr=0 origname=NODE_1_length_431052_cov_10.282560_pilon sw=shovill-spades/1.0.4 date=20190301	92462..93679	Erythromycin, Azithromycin	U83667
SAMN03197583	parasanguinis_I	tet(O)	99.90	1920/1920	100.0	1..1920	SAMN03197583.contig00002 len=324112 cov=10.0 corr=0 origname=NODE_2_length_324112_cov_10.033493_pilon sw=shovill-spades/1.0.4 date=20190301	194462..196381	Doxycycline, Tetracycline, Minocycline	Y07780
SAMN03197583	parasanguinis_I	tetA(46)	94.78	1725/1725	100.0	1..1725	SAMN03197583.contig00003 len=294293 cov=10.3 corr=0 origname=NODE_3_length_294293_cov_10.291647_pilon sw=shovill-spades/1.0.4 date=20190301	98465..100189	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197583	parasanguinis_I	tetB(46)	93.09	1722/1737	99.02130109383995	1..1721	SAMN03197583.contig00003 len=294293 cov=10.3 corr=0 origname=NODE_3_length_294293_cov_10.291647_pilon sw=shovill-spades/1.0.4 date=20190301	100191..101911	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197851	parasanguinis_I	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN03197851.contig00001 len=283042 cov=6.7 corr=0 origname=NODE_1_length_283042_cov_6.717575_pilon sw=shovill-spades/1.0.4 date=20190227	11089..12552	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN03197851	parasanguinis_I	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN03197851.contig00001 len=283042 cov=6.7 corr=0 origname=NODE_1_length_283042_cov_6.717575_pilon sw=shovill-spades/1.0.4 date=20190227	12672..13889	Erythromycin, Azithromycin	U83667
SAMN03197851	parasanguinis_I	tetA(46)	94.67	1725/1725	100.0	1..1725	SAMN03197851.contig00011 len=77613 cov=6.7 corr=0 origname=NODE_11_length_77613_cov_6.679709_pilon sw=shovill-spades/1.0.4 date=20190227	54692..56416	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197851	parasanguinis_I	tetB(46)	92.87	1724/1737	98.90616004605643	1..1721	SAMN03197851.contig00011 len=77613 cov=6.7 corr=0 origname=NODE_11_length_77613_cov_6.679709_pilon sw=shovill-spades/1.0.4 date=20190227	52970..54690	Doxycycline, Tetracycline, Tigecycline	HQ652506
