sample_key	GTDB_214	sample	element_symbol	element_name	source
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
39pp	xiaochunlingii	039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
108cap	xiaochunlingii	108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
140cp	xiaochunlingii	140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
146pp	xiaochunlingii	146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
NA	NA	SAMEA104113826	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104113826	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104113842	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA104113842	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA104113842	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104113842	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104151634	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA104151639	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA104151639	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104151639	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104151643	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA104151643	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA104151643	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA104151643	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104151643	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA112653992	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA114321099	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA114321099	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA114321099	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA114321099	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA114321099	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA114321099	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMEA115092473	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA115092473	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMEA115106822	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA115606954	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA116302146	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA116302146	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA3353968	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA3353968	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA3353968	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA3353968	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA3882083	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA3882083	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN03197128	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN03197128	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN03197590	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN03197590	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN03197590	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN09631674	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09631674	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631675	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631675	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN42334627	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN42334627	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
NA	NA	SAMEA104151644	NA	NA	atb
NA	NA	SAMN09631676	NA	NA	atb
