sample_key	GTDB_214	sample	element_symbol	element_name	source
42ap	parasanguinis_C	042Ap-CMPN001x50_260114_LH00793_B23GCKKLT3	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	rmarvig
42ap	parasanguinis_C	042Ap-CMPN001x50_260114_LH00793_B23GCKKLT3	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	rmarvig
NA	NA	SAMEA104138649	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMEA104138649	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA5390834	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMEA5390834	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849375	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849375	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849375	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849375	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849377	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN11849377	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN11849377	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
NA	NA	SAMN11849377	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849379	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	atb
NA	NA	SAMN11849379	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	atb
