Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104113826	xiaochunlingii	tetB(46)	87.10	1737/1737	100.0	1..1737	SAMEA104113826.contig00011 len=80773 cov=36.4 corr=0 origname=NODE_11_length_80773_cov_36.402583_pilon sw=shovill-spades/1.0.4 date=20181221	18071..19807	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104113826	xiaochunlingii	tetA(46)	87.01	1725/1725	100.0	1..1725	SAMEA104113826.contig00011 len=80773 cov=36.4 corr=0 origname=NODE_11_length_80773_cov_36.402583_pilon sw=shovill-spades/1.0.4 date=20181221	16345..18069	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104113842	xiaochunlingii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104113842.contig00001 len=375006 cov=30.9 corr=0 origname=NODE_1_length_375006_cov_30.882201_pilon sw=shovill-spades/1.0.4 date=20181222	200941..202404	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104113842	xiaochunlingii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104113842.contig00001 len=375006 cov=30.9 corr=0 origname=NODE_1_length_375006_cov_30.882201_pilon sw=shovill-spades/1.0.4 date=20181222	202524..203741	Erythromycin, Azithromycin	U83667
SAMEA104113842	xiaochunlingii	tetA(46)	87.83	1725/1725	100.0	1..1725	SAMEA104113842.contig00006 len=125128 cov=35.4 corr=1 origname=NODE_6_length_125128_cov_35.418484_pilon sw=shovill-spades/1.0.4 date=20181222	116998..118722	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104113842	xiaochunlingii	tetB(46)	85.95	1737/1737	100.0	1..1737	SAMEA104113842.contig00006 len=125128 cov=35.4 corr=1 origname=NODE_6_length_125128_cov_35.418484_pilon sw=shovill-spades/1.0.4 date=20181222	115260..116996	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104151634	xiaochunlingii	tet(M)	99.79	1920/1920	100.0	1..1920	SAMEA104151634.contig00001 len=670451 cov=32.7 corr=1 origname=NODE_1_length_670451_cov_32.708669_pilon sw=shovill-spades/1.0.4 date=20181221	140942..142861	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA104151639	xiaochunlingii	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA104151639.contig00001 len=721671 cov=36.6 corr=0 origname=NODE_1_length_721671_cov_36.569064_pilon sw=shovill-spades/1.0.4 date=20181221	282299..284218	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA104151639	xiaochunlingii	tetA(46)	99.36	1725/1725	100.0	1..1725	SAMEA104151639.contig00001 len=721671 cov=36.6 corr=0 origname=NODE_1_length_721671_cov_36.569064_pilon sw=shovill-spades/1.0.4 date=20181221	328956..330680	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104151639	xiaochunlingii	tetB(46)	92.94	1743/1737	99.65457685664938	1..1737	SAMEA104151639.contig00001 len=721671 cov=36.6 corr=0 origname=NODE_1_length_721671_cov_36.569064_pilon sw=shovill-spades/1.0.4 date=20181221	327218..328954	Doxycycline, Tetracycline, Tigecycline	HQ652506
