Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA3882114	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA3882114.contig00002 len=574100 cov=32.7 corr=0 origname=NODE_2_length_574100_cov_32.700706_pilon sw=shovill-spades/1.0.4 date=20190217	509981..511444	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA3882114	gordonii	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA3882114.contig00002 len=574100 cov=32.7 corr=0 origname=NODE_2_length_574100_cov_32.700706_pilon sw=shovill-spades/1.0.4 date=20190217	508644..509861	Erythromycin, Azithromycin	U83667
SAMEA3919118	gordonii	erm(C)	100.00	735/735	100.0	1..735	SAMEA3919118.contig00008 len=117069 cov=29.9 corr=0 origname=NODE_8_length_117069_cov_29.914548_pilon sw=shovill-spades/1.0.4 date=20190125	61440..62174	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	V01278
SAMEA4929458	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA4929458.contig00001 len=808005 cov=21.2 corr=0 origname=NODE_1_length_808005_cov_21.248970_pilon sw=shovill-spades/1.1.0 date=20230705	373694..375157	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA4929458	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA4929458.contig00001 len=808005 cov=21.2 corr=0 origname=NODE_1_length_808005_cov_21.248970_pilon sw=shovill-spades/1.1.0 date=20230705	375277..376494	Erythromycin, Azithromycin	U83667
SAMEA5192251	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA5192251.contig00004 len=265606 cov=39.2 corr=0 origname=NODE_4_length_265606_cov_39.218269_pilon sw=shovill-spades/1.1.0 date=20230720	30728..32191	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA5192251	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA5192251.contig00004 len=265606 cov=39.2 corr=0 origname=NODE_4_length_265606_cov_39.218269_pilon sw=shovill-spades/1.1.0 date=20230720	32311..33528	Erythromycin, Azithromycin	U83667
SAMEA5192252	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA5192252.contig00001 len=546956 cov=39.3 corr=0 origname=NODE_1_length_546956_cov_39.266990_pilon sw=shovill-spades/1.1.0 date=20230704	172222..173685	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA5192252	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA5192252.contig00001 len=546956 cov=39.3 corr=0 origname=NODE_1_length_546956_cov_39.266990_pilon sw=shovill-spades/1.1.0 date=20230704	170885..172102	Erythromycin, Azithromycin	U83667
SAMEA5192253	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA5192253.contig00004 len=248373 cov=39.9 corr=0 origname=NODE_4_length_248373_cov_39.860817_pilon sw=shovill-spades/1.1.0 date=20230706	186027..187490	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA5192253	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA5192253.contig00004 len=248373 cov=39.9 corr=0 origname=NODE_4_length_248373_cov_39.860817_pilon sw=shovill-spades/1.1.0 date=20230706	184690..185907	Erythromycin, Azithromycin	U83667
SAMEA5192262	gordonii	erm(B)	100.00	738/738	100.0	1..738	SAMEA5192262.contig00011 len=60354 cov=42.5 corr=0 origname=NODE_11_length_60354_cov_42.528555_pilon sw=shovill-spades/1.1.0 date=20230720	45902..46639	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
SAMEA5192262	gordonii	tet(M)	99.53	1920/1920	99.89583333333333	1..1920	SAMEA5192262.contig00011 len=60354 cov=42.5 corr=0 origname=NODE_11_length_60354_cov_42.528555_pilon sw=shovill-spades/1.1.0 date=20230720	42877..44794	Doxycycline, Tetracycline, Minocycline	FR671418
SAMEA5192264	gordonii	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA5192264.contig00003 len=290374 cov=35.8 corr=0 origname=NODE_3_length_290374_cov_35.835881_pilon sw=shovill-spades/1.1.0 date=20230706	278142..280061	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA5192265	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA5192265.contig00001 len=638227 cov=40.5 corr=0 origname=NODE_1_length_638227_cov_40.526786_pilon sw=shovill-spades/1.1.0 date=20230706	333423..334886	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA5192265	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA5192265.contig00001 len=638227 cov=40.5 corr=0 origname=NODE_1_length_638227_cov_40.526786_pilon sw=shovill-spades/1.1.0 date=20230706	332086..333303	Erythromycin, Azithromycin	U83667
SAMEA5192266	gordonii	tet(M)	99.79	1920/1920	100.0	1..1920	SAMEA5192266.contig00004 len=242815 cov=51.8 corr=1 origname=NODE_4_length_242815_cov_51.751615_pilon sw=shovill-spades/1.1.0 date=20230705	216184..218103	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA5390902	gordonii	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA5390902.contig00001 len=883736 cov=33.8 corr=0 origname=NODE_1_length_883736_cov_33.845000_pilon sw=shovill-spades/1.1.0 date=20230705	277290..279209	Doxycycline, Tetracycline, Minocycline	X04388
SAMEA5390913	gordonii	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA5390913.contig00001 len=883787 cov=33.6 corr=0 origname=NODE_1_length_883787_cov_33.609871_pilon sw=shovill-spades/1.1.0 date=20230706	277041..278960	Doxycycline, Tetracycline, Minocycline	X04388
SAMN03197981	gordonii	tet(M)	99.79	1920/1920	100.0	1..1920	SAMN03197981.contig00003 len=252941 cov=5.3 corr=0 origname=NODE_3_length_252941_cov_5.313987_pilon sw=shovill-spades/1.0.4 date=20190225	156573..158492	Doxycycline, Tetracycline, Minocycline	X04388
SAMN04477596	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN04477596.contig00015 len=27889 cov=30.4 corr=0 origname=NODE_15_length_27889_cov_30.364424_pilon sw=shovill-spades/1.0.4 date=20190107	2030..3493	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN04477596	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN04477596.contig00015 len=27889 cov=30.4 corr=0 origname=NODE_15_length_27889_cov_30.364424_pilon sw=shovill-spades/1.0.4 date=20190107	693..1910	Erythromycin, Azithromycin	U83667
SAMN04477596	gordonii	tet(M)	99.84	1920/1920	100.0	1..1920	SAMN04477596.contig00002 len=253455 cov=31.7 corr=0 origname=NODE_2_length_253455_cov_31.734826_pilon sw=shovill-spades/1.0.4 date=20190107	66854..68773	Doxycycline, Tetracycline, Minocycline	X92947
SAMN04875583	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN04875583.contig00002 len=590170 cov=38.7 corr=0 origname=NODE_2_length_590170_cov_38.749786_pilon sw=shovill-spades/1.0.4 date=20190121	525450..526913	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN04875583	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN04875583.contig00002 len=590170 cov=38.7 corr=0 origname=NODE_2_length_590170_cov_38.749786_pilon sw=shovill-spades/1.0.4 date=20190121	524113..525330	Erythromycin, Azithromycin	U83667
SAMN09631702	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN09631702.contig00029 len=20229 cov=9.0 corr=0 origname=NODE_29_length_20229_cov_9.038205_pilon sw=shovill-spades/1.1.0 date=20230707	4623..6086	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN09631702	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN09631702.contig00029 len=20229 cov=9.0 corr=0 origname=NODE_29_length_20229_cov_9.038205_pilon sw=shovill-spades/1.1.0 date=20230707	6206..7423	Erythromycin, Azithromycin	U83667
SAMN09631706	gordonii	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN09631706.contig00028 len=14533 cov=4.6 corr=6 origname=NODE_28_length_14533_cov_4.622588_pilon sw=shovill-spades/1.1.0 date=20230708	9574..11037	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN09631706	gordonii	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN09631706.contig00028 len=14533 cov=4.6 corr=6 origname=NODE_28_length_14533_cov_4.622588_pilon sw=shovill-spades/1.1.0 date=20230708	8237..9454	Erythromycin, Azithromycin	U83667
SAMN09631706	gordonii	tet(M)	99.84	1920/1920	100.0	1..1920	SAMN09631706.contig00012 len=83747 cov=9.7 corr=6 origname=NODE_12_length_83747_cov_9.746604_pilon sw=shovill-spades/1.1.0 date=20230708	13613..15532	Doxycycline, Tetracycline, Minocycline	X92947
