sample_key	GTDB_214	sample	element_symbol	element_name	source
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	msr(D)	ABC-F type ribosomal protection protein Msr(D)	rmarvig
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	mef(A)	macrolide efflux MFS transporter Mef(A)	rmarvig
111ps	sanguinis	111ps	NA	NA	rmarvig
120cs	sanguinis	120Cs-CMPN001x32_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
120cs	sanguinis	120Cs-CMPN001x32_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
129cs	sanguinis	129Cs-CMPN001x36_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
129cs	sanguinis	129Cs-CMPN001x36_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
NA	NA	SAMEA104055231	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA104055232	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA104138645	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA111504673	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA111504673	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA114552321	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA4555988	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA4555988	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMEA5192272	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMEA5192272	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5192274	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5979909	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMEA5979909	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMN00828791	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN01162043	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN01162043	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
NA	NA	SAMN09631753	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631753	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09631761	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09631761	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631765	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09631765	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631767	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631767	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09631770	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN09631771	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN09631772	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN09631772	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631773	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN09631773	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN10478698	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
