Genome	Species	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMEA104113877	parasanguinis_I	NA	SAMEA104113877.contig00001	101246	102976	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	95.32	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMEA104113877	parasanguinis_I	NA	SAMEA104113877.contig00001	102981	104702	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.39	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMEA114321104	parasanguinis_I	NA	SAMEA114321104.contig00001	293132	294592	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	487	487	100.00	99.79	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMEA114321104	parasanguinis_I	NA	SAMEA114321104.contig00001	294715	295929	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMEA114321104	parasanguinis_I	NA	SAMEA114321104.contig00002	288553	290274	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	98.61	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMEA114321104	parasanguinis_I	NA	SAMEA114321104.contig00002	290279	292009	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	96.36	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMN03197258	parasanguinis_I	NA	SAMN03197258.contig00003	8512	9246	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.59	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
SAMN03197258	parasanguinis_I	NA	SAMN03197258.contig00003	10356	12272	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_004632336.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMN03197258	parasanguinis_I	NA	SAMN03197258.contig00005	131176	132897	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.74	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMN03197258	parasanguinis_I	NA	SAMN03197258.contig00005	132902	134632	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	95.49	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMN03197508	parasanguinis_I	NA	SAMN03197508.contig00005	8317	10038	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	98.08	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
SAMN03197508	parasanguinis_I	NA	SAMN03197508.contig00005	10043	11773	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	94.97	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
SAMN03197583	parasanguinis_I	NA	SAMN03197583.contig00001	90882	92342	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
SAMN03197583	parasanguinis_I	NA	SAMN03197583.contig00001	92465	93679	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
SAMN03197583	parasanguinis_I	NA	SAMN03197583.contig00002	194465	196381	-	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.69	639	WP_000691759.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
