Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104055231	sanguinis	tet(M)	99.95	1920/1920	100.0	1..1920	SAMEA104055231.contig00001 len=1463981 cov=35.5 corr=0 origname=NODE_1_length_1463981_cov_35.465200_pilon sw=shovill-spades/1.0.4 date=20181221	743531..745450	Doxycycline, Tetracycline, Minocycline	EU182585
SAMEA104055232	sanguinis	tet(M)	99.95	1920/1920	100.0	1..1920	SAMEA104055232.contig00001 len=1238297 cov=35.0 corr=0 origname=NODE_1_length_1238297_cov_35.028602_pilon sw=shovill-spades/1.0.4 date=20181222	517843..519762	Doxycycline, Tetracycline, Minocycline	EU182585
SAMEA104138645	sanguinis	tet(M)	100.00	1920/1920	100.0	1..1920	SAMEA104138645.contig00003 len=370609 cov=43.1 corr=0 origname=NODE_3_length_370609_cov_43.084152_pilon sw=shovill-spades/1.0.4 date=20181220	100551..102470	Doxycycline, Tetracycline, Minocycline	AM990992
SAMEA111504673	sanguinis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111504673.contig00001 len=791778 cov=13.0 corr=0 origname=NODE_1_length_791778_cov_12.976360_pilon sw=shovill-spades/1.1.0 date=20230624	476426..477889	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111504673	sanguinis	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA111504673.contig00001 len=791778 cov=13.0 corr=0 origname=NODE_1_length_791778_cov_12.976360_pilon sw=shovill-spades/1.1.0 date=20230624	475089..476306	Erythromycin, Azithromycin	U83667
SAMEA114552321	sanguinis	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA114552321.contig00002 len=431840 cov=42.6 corr=0 origname=NODE_2_length_431840_cov_42.561060_pilon sw=shovill-spades/1.1.0 date=20240701	234410..236329	Doxycycline, Tetracycline, Minocycline	X92947
SAMEA4555988	sanguinis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA4555988.contig00001 len=984393 cov=33.1 corr=0 origname=NODE_1_length_984393_cov_33.131032_pilon sw=shovill-spades/1.0.4 date=20190219	654586..656049	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA4555988	sanguinis	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA4555988.contig00001 len=984393 cov=33.1 corr=0 origname=NODE_1_length_984393_cov_33.131032_pilon sw=shovill-spades/1.0.4 date=20190219	656169..657386	Erythromycin, Azithromycin	U83667
SAMEA5192272	sanguinis	erm(B)	100.00	738/738	100.0	1..738	SAMEA5192272.contig00001 len=928480 cov=40.5 corr=0 origname=NODE_1_length_928480_cov_40.545928_pilon sw=shovill-spades/1.1.0 date=20230705	329266..330003	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
SAMEA5192272	sanguinis	tet(M)	99.84	1920/1920	100.0	1..1920	SAMEA5192272.contig00001 len=928480 cov=40.5 corr=0 origname=NODE_1_length_928480_cov_40.545928_pilon sw=shovill-spades/1.1.0 date=20230705	339918..341837	Doxycycline, Tetracycline, Minocycline	X92947
