Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104138649	parasanguinis_C	tetA(46)	94.72	1725/1725	100.0	1..1725	SAMEA104138649.contig00001 len=1110855 cov=31.6 corr=1 origname=NODE_1_length_1110855_cov_31.568395_pilon sw=shovill-spades/1.0.4 date=20181222	232753..234477	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138649	parasanguinis_C	tetB(46)	92.86	1722/1737	99.02130109383995	1..1721	SAMEA104138649.contig00001 len=1110855 cov=31.6 corr=1 origname=NODE_1_length_1110855_cov_31.568395_pilon sw=shovill-spades/1.0.4 date=20181222	234479..236199	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390834	parasanguinis_C	tetA(46)	94.43	1725/1725	100.0	1..1725	SAMEA5390834.contig00001 len=730669 cov=35.7 corr=0 origname=NODE_1_length_730669_cov_35.667821_pilon sw=shovill-spades/1.1.0 date=20230705	340440..342164	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390834	parasanguinis_C	tetB(46)	92.93	1725/1737	99.19401266551525	1..1724	SAMEA5390834.contig00001 len=730669 cov=35.7 corr=0 origname=NODE_1_length_730669_cov_35.667821_pilon sw=shovill-spades/1.1.0 date=20230705	338715..340438	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN11849375	parasanguinis_C	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN11849375.contig00001 len=1153266 cov=32.8 corr=0 origname=NODE_1_length_1153266_cov_32.778291_pilon sw=shovill-spades/1.1.0 date=20230706	490643..492106	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN11849375	parasanguinis_C	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN11849375.contig00001 len=1153266 cov=32.8 corr=0 origname=NODE_1_length_1153266_cov_32.778291_pilon sw=shovill-spades/1.1.0 date=20230706	489306..490523	Erythromycin, Azithromycin	U83667
SAMN11849375	parasanguinis_C	tetA(46)	94.72	1725/1725	100.0	1..1725	SAMN11849375.contig00001 len=1153266 cov=32.8 corr=0 origname=NODE_1_length_1153266_cov_32.778291_pilon sw=shovill-spades/1.1.0 date=20230706	902138..903862	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN11849375	parasanguinis_C	tetB(46)	92.80	1722/1737	99.02130109383995	1..1721	SAMN11849375.contig00001 len=1153266 cov=32.8 corr=0 origname=NODE_1_length_1153266_cov_32.778291_pilon sw=shovill-spades/1.1.0 date=20230706	900416..902136	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN11849377	parasanguinis_C	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN11849377.contig00001 len=846967 cov=38.8 corr=0 origname=NODE_1_length_846967_cov_38.781702_pilon sw=shovill-spades/1.1.0 date=20230706	490633..492096	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN11849377	parasanguinis_C	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN11849377.contig00001 len=846967 cov=38.8 corr=0 origname=NODE_1_length_846967_cov_38.781702_pilon sw=shovill-spades/1.1.0 date=20230706	489296..490513	Erythromycin, Azithromycin	U83667
SAMN11849377	parasanguinis_C	tetA(46)	94.72	1725/1725	100.0	1..1725	SAMN11849377.contig00002 len=306251 cov=40.6 corr=0 origname=NODE_2_length_306251_cov_40.558890_pilon sw=shovill-spades/1.1.0 date=20230706	55123..56847	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN11849377	parasanguinis_C	tetB(46)	92.80	1722/1737	99.02130109383995	1..1721	SAMN11849377.contig00002 len=306251 cov=40.6 corr=0 origname=NODE_2_length_306251_cov_40.558890_pilon sw=shovill-spades/1.1.0 date=20230706	53401..55121	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN11849379	parasanguinis_C	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMN11849379.contig00001 len=352647 cov=19.4 corr=0 origname=NODE_1_length_352647_cov_19.417460_pilon sw=shovill-spades/1.1.0 date=20230706	292710..294434	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN11849379	parasanguinis_C	tetB(46)	92.86	1722/1737	99.02130109383995	1..1721	SAMN11849379.contig00001 len=352647 cov=19.4 corr=0 origname=NODE_1_length_352647_cov_19.417460_pilon sw=shovill-spades/1.1.0 date=20230706	294436..296156	Doxycycline, Tetracycline, Tigecycline	HQ652506
